t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789963346.706,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,1.4827,-1.9720,0.0014,0.0013
1789963346.852,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,1.4827,-1.9720,0.0015,0.0014
1789963346.973,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,1.4829,-1.9720,0.0014,0.0011
1789963347.096,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4830,-1.9718,0.0014,0.0012
1789963347.213,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4830,-1.9718,0.0013,0.0013
1789963347.313,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4831,-1.9719,0.0013,0.0011
1789963347.432,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,1.4831,-1.9719,0.0013,0.0010
1789963347.533,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,1.4831,-1.9719,0.0012,0.0009
1789963347.636,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,1.4830,-1.9718,0.0012,0.0009
1789963347.835,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,1.4828,-1.9717,0.0012,0.0009
1789963347.936,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,1.4829,-1.9717,0.0012,0.0010
1789963348.057,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,1.4830,-1.9718,0.0012,0.0010
1789963349.015,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4830,-1.9717,0.0011,0.0010
1789963349.132,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4830,-1.9718,0.0011,0.0010
1789963349.233,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4830,-1.9718,0.0011,0.0009
1789963349.343,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,1.4830,-1.9718,0.0007,0.0009
