t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789944377.050,0,wait_data,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4833,-1.9723,0.0003,0.0002
1789944377.188,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4833,-1.9723,0.0002,0.0003
1789944377.290,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4832,-1.9722,0.0001,0.0004
1789944377.410,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4833,-1.9722,0.0001,0.0003
1789944377.513,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4831,-1.9723,0.0001,0.0005
1789944377.630,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4829,-1.9723,0.0000,0.0002
1789944377.730,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0002,1.4830,-1.9722,0.0001,0.0003
1789944377.835,0,move,-0.0645,-0.5400,0.7200,-0.0004,-0.0031,-0.0002,1.4830,-1.9723,0.0000,0.0004
1789944377.950,0,move,-0.0438,-0.5400,0.7200,-0.0002,0.0001,-0.0053,1.4744,-1.9601,0.0000,-0.0000
1789944378.069,0,move,-0.0240,-0.5400,0.7200,-0.0005,-0.0007,-0.0103,1.4362,-1.9091,0.0001,0.0001
1789944378.170,0,move,-0.0153,-0.5400,0.7200,0.0005,0.0002,-0.0125,1.3904,-1.8507,-0.0001,-0.0000
1789944378.270,0,move,-0.0100,-0.5400,0.7200,-0.0000,0.0007,-0.0138,1.3380,-1.7799,0.0000,-0.0001
1789944378.389,0,move,-0.0059,-0.5400,0.7200,0.0007,0.0007,-0.0148,1.2741,-1.6920,-0.0001,-0.0001
1789944378.491,0,move,-0.0042,-0.5400,0.7200,0.0000,0.0006,-0.0152,1.2307,-1.6357,-0.0000,-0.0001
1789944378.610,0,move,-0.0023,-0.5400,0.7200,0.0001,0.0008,-0.0157,1.1551,-1.5345,-0.0000,-0.0001
1789944378.729,0,move,-0.0014,-0.5400,0.7200,-0.0003,-0.0004,-0.0159,1.0891,-1.4482,0.0000,0.0000
1789944378.850,0,move,-0.0007,-0.5400,0.7200,-0.0003,0.0008,-0.0161,1.0249,-1.3612,0.0000,-0.0001
1789944378.950,0,move,-0.0006,-0.5400,0.7200,-0.0000,-0.0001,-0.0161,0.9808,-1.3039,0.0000,0.0000
1789944379.051,0,move,-0.0004,-0.5400,0.7200,0.0004,-0.0012,-0.0162,0.9157,-1.2181,-0.0001,0.0001
1789944379.171,0,move,0.0002,-0.5400,0.7200,0.0003,-0.0009,-0.0163,0.8523,-1.1314,-0.0000,0.0001
1789944379.290,0,move,-0.0003,-0.5400,0.7200,0.0006,0.0002,-0.0162,0.7962,-1.0614,-0.0001,-0.0000
1789944379.414,0,move,-0.0002,-0.5400,0.7200,0.0001,-0.0006,-0.0162,0.7202,-0.9628,-0.0000,0.0001
1789944379.529,0,move,0.0002,-0.5400,0.7200,0.0004,-0.0006,-0.0163,0.6546,-0.8774,-0.0001,0.0001
1789944379.632,0,move,0.0001,-0.5400,0.6931,0.0001,-0.0003,-0.0163,0.6117,-0.8210,-0.0000,0.0000
1789944379.750,0,move,0.0001,-0.5400,0.5686,0.0008,0.0010,-0.0163,0.5483,-0.7409,-0.0001,-0.0001
1789944379.871,0,move,-0.0001,-0.5387,0.4109,0.0005,-0.0002,-0.0163,0.4854,-0.6787,-0.0001,0.0000
1789944379.971,0,move,-0.0001,-0.4480,0.2404,0.0016,0.0000,-0.0163,0.4245,-0.6361,-0.0002,-0.0000
1789944380.094,0,move,0.0002,-0.3727,0.1533,0.0009,0.0010,-0.0163,0.3825,-0.6143,-0.0001,-0.0001
1789944380.209,0,move,0.0005,-0.1986,0.0839,0.0003,-0.0009,-0.0164,0.3376,-0.5969,-0.0000,0.0001
1789944380.310,0,move,0.0003,-0.1259,0.0530,-0.0002,-0.0001,-0.0164,0.3194,-0.5892,0.0000,0.0000
1789944380.412,0,move,0.0000,-0.0828,0.0351,-0.0001,0.0003,-0.0163,0.3087,-0.5847,0.0000,-0.0000
1789944380.532,0,move,0.0003,-0.0497,0.0201,-0.0009,-0.0005,-0.0164,0.3004,-0.5810,0.0001,0.0001
1789944380.650,0,move,0.0001,-0.0303,0.0118,-0.0012,-0.0011,-0.0163,0.2956,-0.5789,0.0002,0.0001
1789944380.753,0,move,-0.0006,-0.0214,0.0090,-0.0010,-0.0011,-0.0162,0.2933,-0.5782,0.0001,0.0001
1789944380.870,0,move,-0.0005,-0.0108,0.0046,-0.0001,-0.0009,-0.0162,0.2907,-0.5771,0.0000,0.0001
1789944380.970,0,move,-0.0004,-0.0068,0.0038,0.0000,-0.0004,-0.0162,0.2897,-0.5769,-0.0000,0.0001
1789944381.091,0,move,-0.0003,-0.0046,0.0023,0.0009,-0.0012,-0.0162,0.2891,-0.5765,-0.0001,0.0002
1789944381.211,0,move,-0.0002,-0.0025,0.0010,0.0007,-0.0005,-0.0162,0.2886,-0.5762,-0.0001,0.0001
1789944381.330,0,verify,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0162,0.2886,-0.5761,0.0001,0.0000
1789944381.430,0,aim,0.0000,0.0000,0.0000,0.9000,0.6798,-0.0162,0.2886,-0.5760,0.0014,0.0012
1789944381.552,0,aim,0.0000,0.0000,0.0000,0.9000,0.6237,-0.0163,0.2887,-0.5759,0.0262,0.0254
1789944381.670,0,aim,0.0000,0.0000,0.0000,0.9000,0.4248,-0.0163,0.2887,-0.5760,0.1099,0.0962
1789944381.789,0,aim,0.0000,0.0000,0.0000,0.7864,0.1636,-0.0162,0.2887,-0.5761,0.2120,0.1378
