t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789942292.080,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0006,1.4824,-1.9717,0.0003,-0.0011
1789942292.201,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0004,1.4824,-1.9716,0.0004,-0.0012
1789942292.302,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,1.4824,-1.9717,0.0003,-0.0012
1789942292.421,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,1.4824,-1.9715,0.0004,-0.0012
1789942292.535,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,1.4824,-1.9716,0.0003,-0.0012
1789942292.644,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0003,1.4824,-1.9717,0.0004,-0.0013
1789942292.761,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0003,1.4823,-1.9716,0.0005,-0.0012
1789942292.883,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0004,1.4822,-1.9716,0.0006,-0.0012
1789942293.001,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,1.4822,-1.9716,0.0006,-0.0013
1789942293.122,0,move,0.2386,-0.5400,0.7200,-0.0049,0.0110,-0.0006,1.4823,-1.9715,0.0006,-0.0014
1789942293.241,0,move,0.1888,-0.5400,0.7200,-0.0004,0.0032,0.0119,1.4696,-1.9545,0.0000,-0.0004
1789942293.342,0,move,0.1190,-0.5400,0.7200,-0.0002,0.0000,0.0293,1.4422,-1.9200,0.0000,-0.0000
1789942293.460,0,move,0.0657,-0.5400,0.7200,0.0010,0.0001,0.0427,1.3916,-1.8511,-0.0001,-0.0000
1789942293.561,0,move,0.0421,-0.5400,0.7200,-0.0008,-0.0004,0.0486,1.3369,-1.7782,0.0001,0.0000
1789942293.661,0,move,0.0275,-0.5400,0.7200,-0.0007,-0.0004,0.0522,1.2813,-1.7062,0.0001,0.0001
1789942293.769,0,move,0.0167,-0.5400,0.7200,0.0004,-0.0002,0.0549,1.2263,-1.6356,-0.0000,0.0000
1789942293.881,0,move,0.0094,-0.5400,0.7200,0.0008,0.0007,0.0567,1.1593,-1.5504,-0.0001,-0.0001
1789942293.981,0,move,0.0056,-0.5400,0.7200,0.0009,0.0012,0.0577,1.1041,-1.4786,-0.0001,-0.0001
1789942294.082,0,move,0.0033,-0.5400,0.7200,-0.0001,0.0008,0.0582,1.0498,-1.4080,0.0000,-0.0001
1789942294.201,0,move,0.0019,-0.5400,0.6345,0.0005,0.0004,0.0586,0.9828,-1.3224,-0.0001,-0.0001
1789942294.301,0,move,0.0008,-0.5400,0.5303,0.0004,0.0008,0.0589,0.9288,-1.2605,-0.0001,-0.0001
1789942294.401,0,move,0.0001,-0.5400,0.3666,-0.0003,-0.0009,0.0590,0.8746,-1.2087,0.0000,0.0001
1789942294.521,0,move,0.0001,-0.5298,0.2044,-0.0002,-0.0003,0.0590,0.8106,-1.1681,0.0000,0.0000
1789942294.622,0,move,0.0001,-0.4551,0.1266,0.0012,-0.0001,0.0590,0.7605,-1.1487,-0.0002,0.0000
1789942294.741,0,move,0.0001,-0.3560,0.0703,0.0008,-0.0008,0.0590,0.7086,-1.1346,-0.0001,0.0001
1789942294.861,0,move,0.0008,-0.2043,0.0407,-0.0003,0.0007,0.0589,0.6707,-1.1272,0.0000,-0.0001
1789942294.968,0,move,0.0006,-0.1270,0.0258,-0.0005,0.0004,0.0589,0.6513,-1.1235,0.0001,-0.0000
1789942295.080,0,move,-0.0001,-0.0723,0.0147,-0.0002,0.0012,0.0591,0.6377,-1.1207,0.0000,-0.0002
1789942295.200,0,move,0.0001,-0.0420,0.0078,-0.0004,0.0007,0.0590,0.6301,-1.1190,0.0001,-0.0001
1789942295.302,0,move,0.0001,-0.0259,0.0043,0.0000,-0.0000,0.0590,0.6261,-1.1181,-0.0000,0.0000
1789942295.402,0,move,-0.0002,-0.0162,0.0029,0.0003,-0.0008,0.0591,0.6236,-1.1177,-0.0000,0.0001
