t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789861358.665,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,1.4832,-1.9721,-0.0005,0.0004
1789861358.766,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4831,-1.9721,-0.0004,0.0004
1789861358.883,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4831,-1.9721,-0.0003,0.0004
1789861358.983,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,1.4831,-1.9719,-0.0004,0.0004
1789861359.085,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,1.4830,-1.9719,-0.0003,0.0006
1789861359.188,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,1.4832,-1.9720,-0.0003,0.0005
1789861359.290,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,1.4831,-1.9720,-0.0005,0.0005
1789861359.418,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4830,-1.9720,-0.0005,0.0005
1789861359.531,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4831,-1.9720,-0.0005,0.0006
1789861359.645,0,move,0.2643,-0.5400,0.7200,0.0027,-0.0040,0.0013,1.4826,-1.9712,-0.0003,0.0005
1789861359.762,0,move,0.1987,-0.5400,0.7200,0.0017,-0.0018,0.0177,1.4669,-1.9496,-0.0002,0.0002
1789861359.863,0,move,0.1276,-0.5400,0.7200,0.0002,-0.0004,0.0355,1.4362,-1.9088,-0.0000,0.0000
1789861359.966,0,move,0.0823,-0.5400,0.7200,0.0010,-0.0003,0.0468,1.3909,-1.8492,-0.0001,0.0000
1789861360.083,0,move,0.0477,-0.5400,0.7200,0.0002,-0.0004,0.0555,1.3250,-1.7632,-0.0000,0.0000
1789861360.203,0,move,0.0284,-0.5400,0.7200,0.0002,0.0005,0.0603,1.2610,-1.6766,-0.0000,-0.0001
1789861360.304,0,move,0.0176,-0.5400,0.7025,0.0002,-0.0002,0.0630,1.2072,-1.6044,-0.0000,0.0000
1789861360.423,0,move,0.0103,-0.5400,0.5795,0.0002,0.0009,0.0648,1.1430,-1.5239,-0.0000,-0.0001
1789861360.524,0,move,0.0063,-0.5400,0.4658,0.0005,-0.0002,0.0658,1.0886,-1.4691,-0.0001,0.0000
1789861360.624,0,move,0.0043,-0.5400,0.2953,0.0005,0.0005,0.0663,1.0339,-1.4264,-0.0001,-0.0001
1789861360.744,0,move,0.0029,-0.5400,0.1716,0.0000,0.0010,0.0667,0.9682,-1.3955,-0.0000,-0.0001
1789861360.844,0,move,0.0017,-0.5400,0.1119,-0.0005,0.0010,0.0670,0.9152,-1.3806,0.0001,-0.0001
1789861360.965,0,move,0.0015,-0.4891,0.0642,-0.0006,0.0014,0.0670,0.8521,-1.3687,0.0001,-0.0002
