t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789860300.613,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,1.4838,-1.9726,-0.0003,0.0011
1789860300.722,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,1.4837,-1.9726,-0.0004,0.0008
1789860300.840,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4838,-1.9725,-0.0006,0.0006
1789860300.941,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,1.4838,-1.9726,-0.0005,0.0006
1789860301.042,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,1.4838,-1.9725,-0.0006,0.0005
1789860301.173,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4837,-1.9723,-0.0005,0.0005
1789860301.281,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4838,-1.9722,-0.0007,0.0004
1789860301.401,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4836,-1.9722,-0.0005,0.0004
1789860301.503,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,1.4836,-1.9723,-0.0004,0.0003
1789860301.621,0,move,-0.1823,-0.5400,0.7200,0.0025,-0.0014,-0.0018,1.4820,-1.9700,-0.0003,0.0002
1789860301.741,0,move,-0.1188,-0.5400,0.7200,0.0013,-0.0011,-0.0177,1.4627,-1.9441,-0.0002,0.0001
1789860301.842,0,move,-0.0765,-0.5400,0.7200,0.0006,-0.0013,-0.0283,1.4298,-1.9000,-0.0001,0.0002
1789860301.961,0,move,-0.0461,-0.5400,0.7036,-0.0001,-0.0015,-0.0359,1.3722,-1.8234,0.0000,0.0002
1789860302.062,0,move,-0.0303,-0.5400,0.6004,0.0002,0.0006,-0.0398,1.3190,-1.7547,-0.0000,-0.0001
1789860302.163,0,move,-0.0193,-0.5400,0.4989,0.0003,0.0002,-0.0426,1.2649,-1.6978,-0.0000,-0.0000
1789860302.281,0,move,-0.0118,-0.4498,0.2958,0.0008,0.0004,-0.0444,1.2023,-1.6447,-0.0001,-0.0001
1789860302.384,0,move,-0.0079,-0.3762,0.1939,-0.0006,-0.0003,-0.0454,1.1609,-1.6193,0.0001,0.0000
1789860302.501,0,move,-0.0048,-0.2243,0.1108,-0.0007,0.0003,-0.0462,1.1207,-1.5985,0.0001,-0.0000
1789860302.601,0,move,-0.0035,-0.1386,0.0718,0.0001,0.0006,-0.0465,1.0993,-1.5888,-0.0000,-0.0001
1789860302.720,0,move,-0.0022,-0.0831,0.0436,0.0005,0.0017,-0.0468,1.0854,-1.5817,-0.0001,-0.0002
1789860302.820,0,move,-0.0015,-0.0542,0.0269,0.0005,0.0011,-0.0470,1.0782,-1.5775,-0.0001,-0.0001
1789860302.921,0,move,-0.0014,-0.0378,0.0189,-0.0006,0.0007,-0.0470,1.0741,-1.5755,0.0001,-0.0001
1789860303.041,0,move,-0.0008,-0.0199,0.0100,0.0002,0.0005,-0.0472,1.0696,-1.5733,-0.0000,-0.0001
1789860303.141,0,move,-0.0009,-0.0131,0.0064,0.0007,0.0010,-0.0472,1.0679,-1.5724,-0.0001,-0.0001
1789860303.261,0,move,-0.0008,-0.0085,0.0039,-0.0001,-0.0001,-0.0472,1.0668,-1.5718,0.0000,0.0000
1789860303.382,0,move,-0.0005,-0.0049,0.0027,0.0009,0.0008,-0.0473,1.0659,-1.5715,-0.0001,-0.0001
1789860303.500,0,move,-0.0003,-0.0032,0.0016,0.0004,0.0007,-0.0473,1.0654,-1.5712,-0.0001,-0.0001
1789860303.602,0,look_fine,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0474,1.0655,-1.5711,-0.0000,0.0001
1789860303.726,0,look_fine,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0473,1.0656,-1.5711,-0.0001,0.0001
1789860303.900,0,look_fine,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0473,1.0655,-1.5711,-0.0001,0.0001
1789860304.002,0,move,0.3529,-0.5400,0.7200,0.0007,-0.0011,-0.0473,1.0655,-1.5711,-0.0001,0.0001
1789860304.120,0,move,0.3161,-0.5400,0.7200,0.0002,0.0009,-0.0380,1.0561,-1.5590,-0.0000,-0.0001
1789860304.220,0,move,0.2245,-0.5400,0.7200,-0.0004,-0.0001,-0.0151,1.0325,-1.5264,0.0001,0.0000
1789860304.321,0,move,0.1591,-0.5400,0.7200,0.0004,0.0004,0.0012,1.0026,-1.4862,-0.0000,-0.0001
1789860304.421,0,move,0.0942,-0.5400,0.6693,-0.0005,0.0004,0.0174,0.9420,-1.4066,0.0001,-0.0000
1789860304.540,0,move,0.0570,-0.5400,0.5456,-0.0006,0.0002,0.0267,0.8759,-1.3300,0.0001,-0.0000
1789860304.643,0,move,0.0375,-0.4988,0.3954,-0.0004,0.0012,0.0316,0.8238,-1.2770,0.0000,-0.0001
1789860304.761,0,move,0.0219,-0.4058,0.2279,-0.0010,-0.0004,0.0355,0.7665,-1.2351,0.0001,0.0000
1789860304.887,0,move,0.0130,-0.2715,0.1381,-0.0005,-0.0001,0.0377,0.7224,-1.2126,0.0001,0.0000
1789860305.000,0,move,0.0074,-0.1581,0.0803,0.0005,-0.0004,0.0391,0.6940,-1.1982,-0.0001,0.0001
