t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789860319.952,0,wait_data,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0006,1.4841,-1.9723,0.0004,0.0000
1789860320.081,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0006,1.4840,-1.9723,0.0003,0.0000
1789860320.190,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0003,1.4839,-1.9722,0.0004,0.0001
1789860320.290,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0003,1.4839,-1.9722,0.0004,0.0001
1789860320.391,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0003,1.4838,-1.9720,0.0005,0.0001
1789860320.518,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0002,1.4838,-1.9719,0.0004,0.0002
1789860320.678,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0002,1.4837,-1.9719,0.0004,0.0002
1789860320.791,0,look_coarse,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4838,-1.9721,0.0004,0.0001
1789860320.913,0,move,0.0251,-0.5400,0.7200,-0.0024,-0.0013,0.0017,1.4802,-1.9672,0.0003,0.0002
1789860321.030,0,move,0.0145,-0.5400,0.7200,0.0001,-0.0005,0.0044,1.4510,-1.9281,-0.0000,0.0001
1789860321.132,0,move,0.0091,-0.5400,0.7200,0.0002,-0.0010,0.0057,1.4103,-1.8754,-0.0000,0.0001
1789860321.250,0,move,0.0061,-0.5400,0.6806,0.0004,-0.0006,0.0065,1.3590,-1.8072,-0.0001,0.0001
1789860321.372,0,move,0.0035,-0.5400,0.5408,0.0006,-0.0003,0.0071,1.2852,-1.7200,-0.0001,0.0000
1789860321.490,0,move,0.0019,-0.5075,0.3599,0.0002,0.0005,0.0075,1.2224,-1.6608,-0.0000,-0.0001
1789860321.590,0,move,0.0014,-0.4452,0.2531,-0.0009,0.0003,0.0077,1.1820,-1.6341,0.0001,-0.0000
1789860321.711,0,move,0.0012,-0.3409,0.1483,-0.0021,-0.0004,0.0077,1.1324,-1.6079,0.0003,0.0001
1789860321.831,0,move,0.0003,-0.1943,0.0874,-0.0008,-0.0003,0.0079,1.0958,-1.5926,0.0001,0.0000
1789860321.950,0,move,0.0003,-0.1035,0.0478,-0.0005,-0.0001,0.0079,1.0731,-1.5827,0.0001,0.0000
1789860322.052,0,move,0.0006,-0.0737,0.0331,-0.0005,-0.0004,0.0078,1.0656,-1.5791,0.0001,0.0000
1789860322.171,0,move,0.0006,-0.0400,0.0181,-0.0006,0.0003,0.0078,1.0572,-1.5753,0.0001,-0.0000
1789860322.290,0,move,0.0001,-0.0234,0.0115,-0.0003,0.0001,0.0080,1.0530,-1.5737,0.0000,-0.0000
1789860322.391,0,move,0.0001,-0.0160,0.0079,-0.0001,0.0002,0.0080,1.0512,-1.5728,0.0000,-0.0000
1789860322.511,0,move,-0.0006,-0.0091,0.0046,0.0001,0.0002,0.0081,1.0495,-1.5720,-0.0000,-0.0000
1789860322.629,0,move,-0.0008,-0.0057,0.0023,-0.0000,-0.0004,0.0082,1.0486,-1.5714,0.0000,0.0000
1789860322.730,0,move,-0.0006,-0.0036,0.0014,0.0002,-0.0002,0.0081,1.0481,-1.5711,-0.0000,0.0000
1789860322.831,0,look_fine,-0.0000,-0.0019,0.0010,0.0007,0.0002,0.0080,1.0477,-1.5710,-0.0001,-0.0000
1789860322.951,0,look_fine,0.0000,0.0000,0.0000,0.0000,0.0000,0.0078,1.0477,-1.5709,-0.0001,-0.0000
1789860323.055,0,look_fine,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,1.0475,-1.5709,-0.0001,-0.0001
