t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1790023427.765,0,wait_data,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4835,-1.9712,0.0003,0.0006
1790023427.899,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4834,-1.9712,0.0003,0.0007
1790023428.150,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4835,-1.9712,0.0004,0.0007
1790023428.265,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0002,1.4836,-1.9710,0.0003,0.0005
1790023428.430,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4835,-1.9711,0.0004,0.0006
1790023428.546,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4834,-1.9709,0.0002,0.0004
1790023428.670,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4833,-1.9709,0.0002,0.0004
1790023428.787,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4832,-1.9708,0.0001,0.0003
1790023428.915,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4832,-1.9707,0.0002,0.0003
1790023429.035,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4832,-1.9708,0.0002,0.0002
1790023429.145,0,move,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4831,-1.9709,0.0001,0.0003
1790023429.248,0,move,-0.3836,-0.5400,0.7200,-0.0006,-0.0016,-0.0036,1.4797,-1.9659,0.0001,0.0002
1790023429.366,0,move,-0.3057,-0.5400,0.7200,-0.0005,-0.0007,-0.0273,1.4562,-1.9345,0.0001,0.0001
1790023429.487,0,move,-0.1797,-0.5400,0.7200,0.0008,0.0000,-0.0588,1.4122,-1.8771,-0.0001,-0.0000
1790023429.605,0,move,-0.1027,-0.5400,0.7200,0.0002,-0.0001,-0.0780,1.3499,-1.7935,-0.0000,0.0000
1790023429.706,0,move,-0.0644,-0.5400,0.7200,0.0006,-0.0004,-0.0876,1.2956,-1.7203,-0.0001,0.0001
1790023429.806,0,move,-0.0410,-0.5400,0.7200,0.0002,-0.0001,-0.0935,1.2420,-1.6466,-0.0000,0.0000
1790023429.925,0,move,-0.0243,-0.5400,0.7200,0.0001,0.0000,-0.0976,1.1781,-1.5593,-0.0000,-0.0000
1790023430.026,0,move,-0.0149,-0.5400,0.7200,0.0004,0.0006,-0.1000,1.1225,-1.4879,-0.0000,-0.0001
1790023430.128,0,move,-0.0112,-0.5400,0.7200,0.0013,0.0005,-0.1009,1.0805,-1.4301,-0.0002,-0.0001
1790023430.245,0,move,-0.0064,-0.5400,0.7200,0.0006,0.0007,-0.1021,1.0159,-1.3420,-0.0001,-0.0001
1790023430.366,0,move,-0.0035,-0.5400,0.7200,0.0007,-0.0002,-0.1028,0.9515,-1.2572,-0.0001,0.0000
1790023430.486,0,move,-0.0024,-0.5400,0.6216,0.0004,0.0005,-0.1031,0.8856,-1.1745,-0.0000,-0.0001
1790023430.605,0,move,-0.0011,-0.5400,0.4993,-0.0007,-0.0010,-0.1034,0.8210,-1.1046,0.0001,0.0001
1790023430.706,0,move,-0.0003,-0.5400,0.3210,0.0003,-0.0003,-0.1036,0.7686,-1.0576,-0.0000,0.0000
1790023430.825,0,move,-0.0006,-0.5400,0.1798,0.0003,-0.0002,-0.1036,0.7029,-1.0223,-0.0000,0.0000
