t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789947257.116,0,wait_data,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4830,-1.9720,0.0002,0.0001
1789947257.228,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0007,1.4831,-1.9720,0.0002,0.0001
1789947257.328,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4831,-1.9720,0.0003,0.0001
1789947257.448,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0007,1.4831,-1.9719,0.0002,0.0000
1789947257.623,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,1.4830,-1.9718,0.0002,-0.0000
1789947257.728,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0004,1.4830,-1.9718,0.0001,-0.0000
1789947257.864,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0003,1.4828,-1.9716,0.0001,-0.0001
1789947257.968,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0003,1.4828,-1.9717,0.0000,-0.0001
1789947258.075,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0003,1.4827,-1.9716,0.0000,-0.0001
1789947258.190,0,move,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0002,1.4828,-1.9716,0.0000,-0.0002
1789947258.308,0,move,0.2131,-0.5400,0.7200,0.0007,0.0002,0.0057,1.4769,-1.9635,-0.0001,-0.0000
1789947258.408,0,move,0.1326,-0.5400,0.7200,0.0002,0.0009,0.0258,1.4497,-1.9278,-0.0000,-0.0001
1789947258.508,0,move,0.0865,-0.5400,0.7200,-0.0000,0.0002,0.0374,1.4102,-1.8772,0.0000,-0.0000
1789947258.627,0,move,0.0509,-0.5400,0.7200,-0.0004,0.0001,0.0463,1.3479,-1.7933,0.0000,-0.0000
1789947258.728,0,move,0.0327,-0.5400,0.7200,-0.0006,0.0006,0.0508,1.2928,-1.7209,0.0001,-0.0001
1789947258.848,0,move,0.0222,-0.5400,0.7200,-0.0006,0.0001,0.0534,1.2385,-1.6487,0.0001,-0.0000
1789947258.968,0,move,0.0123,-0.5400,0.7200,0.0003,0.0007,0.0559,1.1615,-1.5472,-0.0000,-0.0001
1789947259.068,0,move,0.0093,-0.5400,0.7200,0.0006,0.0003,0.0566,1.1282,-1.5038,-0.0001,-0.0000
1789947259.171,0,move,0.0059,-0.5400,0.7200,0.0008,0.0004,0.0575,1.0733,-1.4304,-0.0001,-0.0001
1789947259.288,0,move,0.0031,-0.5400,0.6241,-0.0002,-0.0001,0.0582,0.9960,-1.3332,0.0000,0.0000
1789947259.388,0,move,0.0029,-0.5400,0.5421,-0.0003,0.0004,0.0582,0.9524,-1.2844,0.0000,-0.0001
1789947259.488,0,move,0.0015,-0.5400,0.3595,-0.0008,0.0011,0.0586,0.8902,-1.2243,0.0001,-0.0001
1789947259.609,0,move,0.0006,-0.5388,0.2113,-0.0013,-0.0000,0.0588,0.8258,-1.1873,0.0002,0.0000
1789947259.728,0,move,0.0005,-0.4648,0.1384,-0.0000,-0.0001,0.0589,0.7753,-1.1691,0.0000,0.0000
1789947259.849,0,move,-0.0000,-0.3707,0.0834,0.0003,0.0002,0.0590,0.7218,-1.1553,-0.0000,-0.0000
1789947259.967,0,move,-0.0002,-0.1990,0.0452,-0.0008,0.0006,0.0590,0.6781,-1.1458,0.0001,-0.0001
1789947260.068,0,move,0.0003,-0.1410,0.0325,-0.0004,0.0002,0.0589,0.6636,-1.1426,0.0001,-0.0000
1789947260.189,0,move,-0.0007,-0.0824,0.0193,0.0011,0.0007,0.0591,0.6489,-1.1393,-0.0001,-0.0001
1789947260.308,0,move,-0.0006,-0.0437,0.0103,0.0002,-0.0008,0.0591,0.6392,-1.1370,-0.0000,0.0001
1789947260.408,0,move,-0.0002,-0.0274,0.0070,-0.0005,-0.0002,0.0590,0.6352,-1.1362,0.0001,0.0000
1789947260.519,0,move,0.0000,-0.0175,0.0040,0.0003,-0.0004,0.0590,0.6327,-1.1355,-0.0000,0.0000
1789947260.628,0,move,-0.0001,-0.0114,0.0027,-0.0006,0.0008,0.0590,0.6312,-1.1351,0.0001,-0.0001
1789947260.748,0,move,-0.0006,-0.0060,0.0013,0.0001,0.0006,0.0591,0.6298,-1.1348,-0.0000,-0.0001
1789947260.851,0,move,0.0001,-0.0046,0.0011,0.0005,0.0005,0.0590,0.6295,-1.1347,-0.0001,-0.0001
1789947260.969,0,move,-0.0001,-0.0026,0.0002,-0.0003,-0.0004,0.0590,0.6290,-1.1345,0.0000,0.0001
1789947261.088,0,verify,0.0000,0.0000,0.0000,0.0000,0.0000,0.0592,0.6287,-1.1346,-0.0000,-0.0000
1789947261.212,0,aim,0.0000,0.0000,0.0000,0.6019,0.8349,0.0593,0.6286,-1.1346,0.0014,0.0012
1789947261.328,0,aim,0.0000,0.0000,0.0000,0.5391,0.7911,0.0592,0.6286,-1.1346,0.0264,0.0253
1789947261.428,0,aim,0.0000,0.0000,0.0000,0.3460,0.6548,0.0591,0.6285,-1.1346,0.0822,0.0927
