t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789947981.360,0,wait_data,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,1.4828,-1.9700,0.0010,-0.0005
1789947981.473,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,1.4827,-1.9700,0.0010,-0.0005
1789947981.590,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,1.4827,-1.9700,0.0010,-0.0005
1789947981.696,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,1.4827,-1.9702,0.0009,-0.0007
1789947981.831,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,1.4828,-1.9701,0.0009,-0.0007
1789947981.937,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,1.4827,-1.9700,0.0009,-0.0006
1789947982.057,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,1.4827,-1.9700,0.0011,-0.0006
1789947982.218,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,1.4826,-1.9700,0.0011,-0.0006
1789947982.395,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,1.4825,-1.9699,0.0012,-0.0006
1789947982.627,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,1.4825,-1.9700,0.0013,-0.0005
1789947982.989,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,1.4825,-1.9701,0.0012,-0.0005
1789947983.098,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,1.4826,-1.9701,0.0013,-0.0005
1789947983.216,0,move,0.4295,-0.5400,0.7200,-0.0084,0.0032,-0.0005,1.4819,-1.9693,0.0011,-0.0004
1789947983.318,0,move,0.4084,-0.5400,0.7200,-0.0023,0.0005,0.0115,1.4702,-1.9535,0.0003,-0.0001
1789947983.420,0,move,0.3442,-0.5400,0.7200,-0.0012,-0.0002,0.0389,1.4422,-1.9177,0.0002,0.0000
1789947983.536,0,move,0.2010,-0.5400,0.7200,-0.0002,-0.0007,0.0747,1.3912,-1.8485,0.0000,0.0001
1789947983.639,0,move,0.1309,-0.5400,0.7200,-0.0003,0.0002,0.0923,1.3392,-1.7787,0.0000,-0.0000
1789947983.755,0,move,0.0785,-0.5400,0.7200,0.0005,0.0001,0.1054,1.2731,-1.6923,-0.0001,-0.0000
1789947983.859,0,move,0.0558,-0.5400,0.7200,0.0004,-0.0004,0.1111,1.2308,-1.6343,-0.0000,0.0001
1789947983.979,0,move,0.0335,-0.5400,0.7200,-0.0000,-0.0005,0.1166,1.1659,-1.5487,0.0000,0.0001
1789947984.096,0,move,0.0197,-0.5400,0.7200,-0.0011,0.0006,0.1201,1.0984,-1.4607,0.0001,-0.0001
1789947984.197,0,move,0.0119,-0.5400,0.7200,-0.0009,0.0003,0.1220,1.0429,-1.3901,0.0001,-0.0000
1789947984.317,0,move,0.0073,-0.5400,0.7200,-0.0007,-0.0007,0.1232,0.9788,-1.3042,0.0001,0.0001
1789947984.436,0,move,0.0044,-0.5400,0.7200,0.0005,-0.0002,0.1239,0.9137,-1.2170,-0.0001,0.0000
1789947984.536,0,move,0.0031,-0.5400,0.7200,0.0008,-0.0003,0.1242,0.8597,-1.1454,-0.0001,0.0000
