t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789941996.002,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0018,1.4827,-1.9748,0.0047,0.0020
1789941996.166,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0018,1.4826,-1.9749,0.0046,0.0022
1789941996.274,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0016,1.4824,-1.9747,0.0048,0.0022
1789941996.374,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0014,1.4823,-1.9748,0.0047,0.0021
1789941996.476,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0014,1.4824,-1.9748,0.0049,0.0020
1789941996.594,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0013,1.4824,-1.9748,0.0050,0.0018
1789941996.695,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0014,1.4822,-1.9749,0.0050,0.0018
1789941996.797,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0014,1.4822,-1.9749,0.0050,0.0020
1789941996.914,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0014,1.4822,-1.9749,0.0048,0.0017
1789941997.034,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0013,1.4822,-1.9750,0.0048,0.0016
1789941997.134,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0012,1.4822,-1.9750,0.0047,0.0016
1789941997.255,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,1.4820,-1.9750,0.0048,0.0016
1789941997.358,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0012,1.4820,-1.9750,0.0049,0.0016
1789941997.477,0,move,0.3125,-0.5400,0.7200,-0.0330,-0.0113,-0.0005,1.4813,-1.9742,0.0041,0.0014
1789941997.594,0,move,0.2501,-0.5400,0.7200,-0.0100,-0.0033,0.0151,1.4648,-1.9526,0.0012,0.0004
1789941997.695,0,move,0.1596,-0.5400,0.7200,-0.0034,-0.0019,0.0377,1.4352,-1.9125,0.0004,0.0002
1789941997.795,0,move,0.1042,-0.5400,0.7200,-0.0006,-0.0008,0.0516,1.3925,-1.8486,0.0001,0.0001
1789941997.913,0,move,0.0625,-0.5400,0.7200,-0.0008,-0.0004,0.0620,1.3280,-1.7618,0.0001,0.0000
1789941998.014,0,move,0.0405,-0.5400,0.7200,-0.0007,0.0001,0.0675,1.2753,-1.6919,0.0001,-0.0000
1789941998.133,0,move,0.0243,-0.5400,0.7200,-0.0023,-0.0003,0.0715,1.2113,-1.6055,0.0003,0.0000
1789941998.254,0,move,0.0151,-0.5400,0.7200,-0.0004,0.0007,0.0738,1.1465,-1.5186,0.0001,-0.0001
1789941998.354,0,move,0.0103,-0.5400,0.7200,0.0005,-0.0003,0.0750,1.0926,-1.4474,-0.0001,0.0000
1789941998.454,0,move,0.0062,-0.5400,0.6717,0.0003,-0.0011,0.0761,1.0371,-1.3734,-0.0000,0.0001
1789941998.574,0,move,0.0044,-0.5400,0.5692,-0.0008,-0.0005,0.0765,0.9828,-1.3085,0.0001,0.0001
1789941998.674,0,move,0.0025,-0.5400,0.4069,0.0001,-0.0019,0.0770,0.9184,-1.2449,-0.0000,0.0002
1789941998.796,0,move,0.0019,-0.5400,0.2349,0.0005,-0.0010,0.0771,0.8530,-1.2019,-0.0001,0.0001
1789941998.914,0,move,0.0018,-0.5400,0.1402,0.0004,-0.0003,0.0772,0.7882,-1.1782,-0.0001,0.0000
1789941999.035,0,move,0.0010,-0.4683,0.0850,-0.0008,0.0002,0.0773,0.7251,-1.1644,0.0001,-0.0000
