t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789939788.278,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0070,1.4762,-1.9812,0.0054,0.0020
1789939788.525,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0071,1.4763,-1.9813,0.0055,0.0020
1789939788.636,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0069,1.4760,-1.9812,0.0056,0.0022
1789939788.755,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0070,1.4758,-1.9811,0.0056,0.0022
1789939788.857,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0070,1.4758,-1.9810,0.0056,0.0021
1789939788.974,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0068,1.4758,-1.9810,0.0056,0.0022
1789939789.075,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0068,1.4758,-1.9809,0.0056,0.0022
1789939789.211,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0068,1.4757,-1.9809,0.0055,0.0022
1789939789.316,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0067,1.4758,-1.9809,0.0054,0.0021
1789939789.434,0,move,0.3364,-0.5400,0.7200,-0.0440,-0.0168,-0.0065,1.4759,-1.9809,0.0055,0.0021
1789939789.554,0,move,0.2865,-0.5400,0.7200,-0.0137,-0.0064,0.0060,1.4632,-1.9641,0.0017,0.0008
1789939789.657,0,move,0.1914,-0.5400,0.7200,-0.0050,-0.0022,0.0298,1.4361,-1.9285,0.0006,0.0003
1789939789.774,0,move,0.1123,-0.5400,0.7200,-0.0018,-0.0012,0.0496,1.3840,-1.8586,0.0002,0.0001
1789939789.894,0,move,0.0657,-0.5400,0.7200,-0.0015,-0.0011,0.0612,1.3173,-1.7724,0.0002,0.0001
1789939789.994,0,move,0.0430,-0.5400,0.7200,-0.0007,-0.0010,0.0669,1.2626,-1.7024,0.0001,0.0001
1789939790.116,0,move,0.0255,-0.5400,0.7200,0.0002,-0.0001,0.0712,1.1989,-1.6171,-0.0000,0.0000
1789939790.234,0,move,0.0148,-0.5400,0.7200,0.0007,0.0008,0.0739,1.1339,-1.5312,-0.0001,-0.0001
1789939790.339,0,move,0.0102,-0.5400,0.7200,0.0007,-0.0006,0.0751,1.0914,-1.4729,-0.0001,0.0001
1789939790.456,0,move,0.0061,-0.5400,0.6470,-0.0001,-0.0003,0.0761,1.0158,-1.3742,0.0000,0.0000
1789939790.576,0,move,0.0038,-0.5400,0.5252,-0.0015,0.0000,0.0767,0.9502,-1.3014,0.0002,-0.0000
1789939790.694,0,move,0.0021,-0.5400,0.3388,-0.0011,0.0001,0.0771,0.8835,-1.2454,0.0001,-0.0000
1789939790.814,0,move,0.0011,-0.5400,0.1999,-0.0006,0.0001,0.0773,0.8186,-1.2106,0.0001,-0.0000
1789939790.937,0,move,0.0012,-0.5150,0.1299,0.0004,0.0003,0.0773,0.7651,-1.1931,-0.0000,-0.0000
1789939791.060,0,move,0.0009,-0.4080,0.0701,0.0004,-0.0002,0.0774,0.6979,-1.1782,-0.0000,0.0000
1789939791.175,0,move,0.0007,-0.3057,0.0455,0.0004,0.0007,0.0774,0.6611,-1.1720,-0.0001,-0.0001
1789939791.277,0,move,0.0003,-0.2125,0.0325,0.0001,0.0002,0.0775,0.6378,-1.1688,-0.0000,-0.0000
1789939791.529,0,move,0.0004,-0.1247,0.0194,0.0002,0.0010,0.0775,0.6159,-1.1655,-0.0000,-0.0001
1789939791.634,0,move,0.0003,-0.0926,0.0165,-0.0011,0.0016,0.0775,0.6078,-1.1648,0.0001,-0.0002
1789939791.757,0,move,0.0001,-0.0547,0.0094,0.0004,0.0008,0.0776,0.5984,-1.1630,-0.0000,-0.0001
1789939791.866,0,move,0.0005,-0.0359,0.0065,0.0002,0.0009,0.0775,0.5937,-1.1623,-0.0000,-0.0001
1789939791.975,0,move,0.0008,-0.0217,0.0033,-0.0009,0.0009,0.0774,0.5901,-1.1615,0.0001,-0.0001
1789939792.094,0,move,0.0008,-0.0124,0.0022,-0.0007,0.0004,0.0774,0.5878,-1.1612,0.0001,-0.0001
1789939792.196,0,move,0.0001,-0.0081,0.0014,-0.0003,0.0005,0.0776,0.5867,-1.1610,0.0000,-0.0001
1789939792.298,0,move,0.0000,-0.0051,0.0007,-0.0007,-0.0008,0.0776,0.5860,-1.1608,0.0001,0.0001
1789939792.400,0,move,-0.0002,-0.0031,0.0008,0.0000,-0.0001,0.0777,0.5855,-1.1608,-0.0000,0.0000
1789939792.516,0,move,0.0000,-0.0023,0.0007,0.0014,0.0001,0.0776,0.5853,-1.1608,-0.0002,-0.0000
1789939792.640,0,verify,0.0000,0.0000,0.0000,0.0000,0.0000,0.0777,0.5851,-1.1609,-0.0003,0.0001
1789939792.755,0,aim,0.0000,0.0000,0.0000,0.4410,0.8275,0.0778,0.5852,-1.1610,0.0116,0.0123
1789939792.875,0,aim,0.0000,0.0000,0.0000,0.2419,0.7473,0.0777,0.5853,-1.1609,0.0476,0.0547
1789939793.002,0,aim,0.0000,0.0000,0.0000,0.0645,0.5451,0.0775,0.5852,-1.1610,0.0708,0.1438
1789939793.114,0,aim,0.0000,0.0000,0.0000,0.0220,0.3523,0.0774,0.5851,-1.1610,0.0764,0.2012
1789939793.234,0,aim,0.0000,0.0000,0.0000,0.0114,0.0978,0.0773,0.5852,-1.1610,0.0783,0.2325
1789939793.335,0,aim,0.0000,0.0000,0.0000,0.0039,0.0466,0.0774,0.5851,-1.1609,0.0790,0.2393
1789939793.455,0,aim,0.0000,0.0000,0.0000,0.0012,0.0106,0.0774,0.5852,-1.1608,0.0792,0.2431
1789939793.574,0,aim,0.0000,0.0000,0.0000,0.0028,0.0027,0.0773,0.5854,-1.1608,0.0795,0.2436
1789939793.676,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.0773,0.5855,-1.1608,0.0796,0.2436
