t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789942532.406,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0006,1.4830,-1.9718,0.0002,-0.0004
1789942532.516,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4831,-1.9718,0.0003,-0.0002
1789942532.636,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4830,-1.9716,0.0005,0.0000
1789942532.751,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4830,-1.9717,0.0005,0.0001
1789942532.855,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0007,1.4830,-1.9718,0.0005,0.0002
1789942532.962,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0007,1.4831,-1.9718,0.0005,0.0001
1789942533.071,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4833,-1.9717,0.0007,0.0001
1789942533.174,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0009,1.4834,-1.9717,0.0007,0.0003
1789942533.293,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0009,1.4835,-1.9714,0.0008,0.0003
1789942533.397,0,move,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4836,-1.9716,0.0007,0.0002
1789942533.512,0,move,0.3740,-0.5400,0.7200,-0.0028,-0.0005,0.0081,1.4748,-1.9593,0.0003,0.0001
1789942533.612,0,move,0.2839,-0.5400,0.7200,-0.0009,0.0011,0.0323,1.4504,-1.9279,0.0001,-0.0001
1789942533.732,0,move,0.1679,-0.5400,0.7200,-0.0007,0.0003,0.0613,1.4019,-1.8632,0.0001,-0.0000
1789942533.837,0,move,0.1094,-0.5400,0.7200,-0.0003,0.0007,0.0759,1.3479,-1.7908,0.0000,-0.0001
1789942533.952,0,move,0.0654,-0.5400,0.7200,-0.0005,0.0001,0.0869,1.2832,-1.7038,0.0001,-0.0000
1789942534.052,0,move,0.0427,-0.5400,0.7200,-0.0004,-0.0011,0.0926,1.2300,-1.6320,0.0000,0.0001
1789942534.172,0,move,0.0283,-0.5400,0.7200,-0.0008,-0.0004,0.0962,1.1769,-1.5596,0.0001,0.0000
1789942534.295,0,move,0.0152,-0.5400,0.7200,-0.0015,-0.0007,0.0995,1.1026,-1.4594,0.0002,0.0001
1789942534.412,0,move,0.0087,-0.5400,0.7200,-0.0005,0.0004,0.1011,1.0364,-1.3725,0.0001,-0.0000
1789942534.533,0,move,0.0053,-0.5400,0.7200,-0.0005,-0.0003,0.1019,0.9722,-1.2852,0.0001,0.0000
1789942534.633,0,move,0.0035,-0.5400,0.7200,-0.0009,-0.0006,0.1024,0.9195,-1.2147,0.0001,0.0001
1789942534.752,0,move,0.0025,-0.5400,0.7200,-0.0004,-0.0006,0.1026,0.8550,-1.1266,0.0000,0.0001
1789942534.871,0,move,0.0016,-0.5400,0.7200,-0.0007,-0.0002,0.1029,0.7898,-1.0413,0.0001,0.0000
1789942534.972,0,move,0.0008,-0.5400,0.6388,0.0000,0.0007,0.1031,0.7466,-0.9849,-0.0000,-0.0001
1789942535.091,0,move,0.0008,-0.5400,0.4991,-0.0002,0.0007,0.1031,0.6700,-0.9038,0.0000,-0.0001
1789942535.192,0,move,0.0006,-0.5045,0.3295,-0.0001,0.0001,0.1031,0.6182,-0.8590,0.0000,-0.0000
1789942535.311,0,move,0.0002,-0.4151,0.1948,0.0001,-0.0001,0.1032,0.5623,-0.8254,-0.0000,0.0000
1789942535.412,0,move,-0.0003,-0.3151,0.1272,0.0009,0.0002,0.1033,0.5238,-0.8085,-0.0001,-0.0000
1789942535.513,0,move,0.0004,-0.2191,0.0911,0.0007,-0.0003,0.1032,0.4998,-0.7994,-0.0001,0.0000
1789942535.632,0,move,0.0006,-0.1168,0.0489,-0.0001,0.0003,0.1031,0.4743,-0.7889,0.0000,-0.0000
1789942535.752,0,move,0.0002,-0.0687,0.0294,-0.0005,0.0003,0.1032,0.4622,-0.7840,0.0001,-0.0000
1789942535.872,0,move,-0.0002,-0.0404,0.0175,0.0000,0.0009,0.1033,0.4552,-0.7811,-0.0000,-0.0001
1789942535.972,0,move,-0.0002,-0.0316,0.0136,0.0002,0.0004,0.1033,0.4530,-0.7801,-0.0000,-0.0001
1789942536.091,0,move,0.0003,-0.0186,0.0084,0.0002,0.0000,0.1032,0.4497,-0.7788,-0.0000,-0.0000
1789942536.192,0,move,0.0002,-0.0118,0.0059,-0.0008,0.0005,0.1032,0.4480,-0.7781,0.0001,-0.0001
1789942536.312,0,move,0.0004,-0.0073,0.0037,-0.0015,-0.0001,0.1032,0.4469,-0.7776,0.0002,0.0000
1789942536.431,0,move,-0.0002,-0.0038,0.0019,-0.0007,-0.0014,0.1033,0.4460,-0.7771,0.0001,0.0002
1789942536.552,0,move,0.0001,-0.0024,0.0013,-0.0001,-0.0014,0.1032,0.4457,-0.7770,0.0000,0.0002
1789942536.652,0,verify,0.0000,0.0000,0.0000,0.0000,0.0000,0.1032,0.4456,-0.7771,-0.0000,0.0001
1789942536.775,0,aim,0.0000,0.0000,0.0000,0.6930,0.6187,0.1032,0.4455,-0.7770,0.0035,0.0039
1789942536.891,0,aim,0.0000,0.0000,0.0000,0.6009,0.5205,0.1032,0.4454,-0.7771,0.0441,0.0427
1789942537.012,0,aim,0.0000,0.0000,0.0000,0.4174,0.2855,0.1033,0.4454,-0.7772,0.1075,0.0996
1789942537.112,0,aim,0.0000,0.0000,0.0000,0.1820,0.1034,0.1033,0.4455,-0.7773,0.1440,0.1224
1789942537.232,0,aim,0.0000,0.0000,0.0000,0.0603,0.0345,0.1032,0.4456,-0.7773,0.1594,0.1306
1789942537.351,0,aim,0.0000,0.0000,0.0000,0.0219,0.0095,0.1031,0.4456,-0.7772,0.1649,0.1332
1789942537.453,0,aim,0.0000,0.0000,0.0000,0.0120,0.0079,0.1031,0.4455,-0.7772,0.1663,0.1340
1789942537.573,0,aim,0.0000,0.0000,0.0000,0.0064,0.0049,0.1030,0.4455,-0.7774,0.1672,0.1351
1789942537.703,0,post_press,0.0000,0.0000,0.0000,-0.0019,-0.0025,0.1031,0.4456,-0.7773,0.1679,0.1349
1789942537.812,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1032,0.4457,-0.7771,0.1680,0.1348
1789942537.932,0,aim,0.0000,0.0000,0.0000,-0.9000,0.3801,0.1031,0.4457,-0.7770,0.1679,0.1348
1789942538.052,0,aim,0.0000,0.0000,0.0000,-0.9000,0.3022,0.1032,0.4456,-0.7771,0.1560,0.1467
1789942538.172,0,aim,0.0000,0.0000,0.0000,-0.9000,0.0946,0.1033,0.4457,-0.7773,0.1031,0.1730
1789942538.273,0,aim,0.0000,0.0000,0.0000,-0.8568,0.0276,0.1033,0.4458,-0.7773,0.0046,0.1806
1789942538.375,0,aim,0.0000,0.0000,0.0000,-0.7338,0.0118,0.1033,0.4459,-0.7773,-0.0621,0.1825
1789942538.493,0,aim,0.0000,0.0000,0.0000,-0.5147,0.0025,0.1033,0.4458,-0.7773,-0.1548,0.1839
1789942538.612,0,aim,0.0000,0.0000,0.0000,-0.2873,0.0032,0.1032,0.4457,-0.7774,-0.2090,0.1843
1789942538.712,0,aim,0.0000,0.0000,0.0000,-0.1061,0.0015,0.1034,0.4457,-0.7773,-0.2323,0.1845
1789942538.815,0,aim,0.0000,0.0000,0.0000,-0.0471,0.0003,0.1035,0.4457,-0.7773,-0.2400,0.1847
1789942538.931,0,aim,0.0000,0.0000,0.0000,-0.0262,-0.0005,0.1036,0.4457,-0.7774,-0.2433,0.1850
1789942539.051,0,aim,0.0000,0.0000,0.0000,-0.0093,0.0017,0.1036,0.4457,-0.7775,-0.2455,0.1851
1789942539.151,0,aim,0.0000,0.0000,0.0000,-0.0060,0.0042,0.1037,0.4455,-0.7775,-0.2463,0.1855
1789942539.251,0,aim,0.0000,0.0000,0.0000,0.0006,-0.0002,0.1036,0.4455,-0.7775,-0.2467,0.1859
1789942539.353,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1035,0.4455,-0.7775,-0.2465,0.1858
1789942539.472,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1035,0.4455,-0.7776,-0.2464,0.1859
1789942539.573,0,aim,0.0000,0.0000,0.0000,0.9000,-0.7585,0.1035,0.4456,-0.7775,-0.2428,0.1821
1789942539.675,0,aim,0.0000,0.0000,0.0000,0.9000,-0.6795,0.1035,0.4457,-0.7775,-0.2033,0.1431
1789942539.792,0,aim,0.0000,0.0000,0.0000,0.7679,-0.5080,0.1035,0.4456,-0.7775,-0.1197,0.0741
1789942539.911,0,aim,0.0000,0.0000,0.0000,0.5848,-0.2788,0.1036,0.4456,-0.7774,-0.0356,0.0210
1789942540.013,0,aim,0.0000,0.0000,0.0000,0.4350,-0.1024,0.1035,0.4456,-0.7774,0.0166,-0.0009
1789942540.113,0,aim,0.0000,0.0000,0.0000,0.1974,-0.0335,0.1035,0.4454,-0.7774,0.0562,-0.0089
1789942540.214,0,aim,0.0000,0.0000,0.0000,0.0737,-0.0077,0.1035,0.4453,-0.7775,0.0717,-0.0112
1789942540.332,0,aim,0.0000,0.0000,0.0000,0.0221,-0.0053,0.1035,0.4453,-0.7774,0.0783,-0.0120
1789942540.452,0,aim,0.0000,0.0000,0.0000,0.0098,-0.0022,0.1035,0.4454,-0.7775,0.0801,-0.0122
1789942540.555,0,aim,0.0000,0.0000,0.0000,0.0000,-0.0006,0.1036,0.4454,-0.7776,0.0808,-0.0122
1789942540.672,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1036,0.4454,-0.7775,0.0808,-0.0124
1789942540.774,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1036,0.4455,-0.7776,0.0807,-0.0124
1789942540.874,0,aim,0.0000,0.0000,0.0000,0.6830,0.6301,0.1037,0.4455,-0.7776,0.0817,-0.0111
1789942540.992,0,aim,0.0000,0.0000,0.0000,0.6091,0.5487,0.1036,0.4456,-0.7774,0.1144,0.0209
1789942541.113,0,aim,0.0000,0.0000,0.0000,0.4618,0.3971,0.1036,0.4456,-0.7774,0.1684,0.0694
1789942541.215,0,aim,0.0000,0.0000,0.0000,0.2545,0.1734,0.1036,0.4455,-0.7774,0.2090,0.1017
1789942541.333,0,aim,0.0000,0.0000,0.0000,0.0726,0.0524,0.1037,0.4456,-0.7774,0.2313,0.1166
1789942541.452,0,aim,0.0000,0.0000,0.0000,0.0253,0.0119,0.1037,0.4457,-0.7773,0.2372,0.1207
