t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789944480.446,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4829,-1.9724,0.0001,0.0007
1789944480.550,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,1.4830,-1.9724,0.0003,0.0008
1789944480.670,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,1.4830,-1.9725,0.0004,0.0008
1789944480.771,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,1.4830,-1.9725,0.0003,0.0008
1789944480.875,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,1.4830,-1.9725,0.0002,0.0007
1789944480.989,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4829,-1.9726,0.0001,0.0007
1789944481.092,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4829,-1.9727,0.0000,0.0006
1789944481.216,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,1.4830,-1.9726,-0.0001,0.0004
1789944481.331,0,move,0.1248,-0.5400,0.7200,0.0007,-0.0012,0.0040,1.4793,-1.9679,-0.0001,0.0001
1789944481.451,0,move,0.0735,-0.5400,0.7200,0.0005,-0.0003,0.0168,1.4560,-1.9375,-0.0001,0.0000
1789944481.569,0,move,0.0388,-0.5400,0.7200,0.0012,-0.0002,0.0255,1.4020,-1.8666,-0.0002,0.0000
1789944481.669,0,move,0.0259,-0.5400,0.7200,0.0000,-0.0002,0.0287,1.3493,-1.7941,-0.0000,0.0000
1789944481.790,0,move,0.0156,-0.5400,0.7200,-0.0003,-0.0003,0.0313,1.2834,-1.7068,0.0000,0.0000
1789944481.890,0,move,0.0110,-0.5400,0.7200,0.0001,-0.0008,0.0325,1.2421,-1.6498,-0.0000,0.0001
1789944482.010,0,move,0.0060,-0.5400,0.7200,-0.0003,0.0001,0.0337,1.1669,-1.5497,0.0000,-0.0000
1789944482.130,0,move,0.0039,-0.5400,0.7200,-0.0011,0.0007,0.0342,1.1037,-1.4634,0.0001,-0.0001
1789944482.250,0,move,0.0018,-0.5400,0.6904,-0.0010,0.0005,0.0348,1.0404,-1.3777,0.0001,-0.0001
1789944482.351,0,move,0.0009,-0.5400,0.6093,-0.0010,0.0003,0.0350,0.9969,-1.3239,0.0001,-0.0000
1789944482.451,0,move,0.0010,-0.5400,0.4818,-0.0004,-0.0010,0.0349,0.9308,-1.2549,0.0001,0.0001
