t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789939843.096,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,1.4838,-1.9724,0.0005,-0.0002
1789939843.216,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,1.4836,-1.9723,0.0006,-0.0001
1789939843.343,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,1.4836,-1.9722,0.0006,-0.0000
1789939843.459,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,1.4836,-1.9722,0.0006,0.0000
1789939843.577,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,1.4837,-1.9722,0.0006,0.0000
1789939843.678,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,1.4836,-1.9722,0.0006,-0.0000
1789939843.781,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,1.4836,-1.9721,0.0006,0.0001
1789939843.895,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,1.4836,-1.9721,0.0005,0.0000
1789939844.000,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,1.4836,-1.9719,0.0005,0.0001
1789939844.112,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0014,1.4835,-1.9719,0.0006,-0.0000
1789939844.215,0,move,0.4181,-0.5400,0.7200,-0.0048,0.0002,0.0015,1.4835,-1.9718,0.0006,-0.0000
1789939844.315,0,move,0.4021,-0.5400,0.7200,-0.0022,-0.0000,0.0105,1.4744,-1.9604,0.0003,0.0000
1789939844.420,0,move,0.3444,-0.5400,0.7200,-0.0011,-0.0007,0.0343,1.4506,-1.9287,0.0001,0.0001
1789939844.534,0,move,0.2231,-0.5400,0.7200,-0.0016,-0.0002,0.0647,1.4110,-1.8747,0.0002,0.0000
1789939844.635,0,move,0.1311,-0.5400,0.7200,0.0001,0.0004,0.0877,1.3479,-1.7891,-0.0000,-0.0001
1789939844.738,0,move,0.0926,-0.5400,0.7200,0.0002,-0.0006,0.0973,1.3044,-1.7318,-0.0000,0.0001
1789939844.856,0,move,0.0495,-0.5400,0.7200,0.0004,0.0001,0.1081,1.2304,-1.6301,-0.0001,-0.0000
1789939844.956,0,move,0.0326,-0.5400,0.7200,-0.0000,-0.0001,0.1123,1.1783,-1.5596,0.0000,0.0000
1789939845.075,0,move,0.0210,-0.5400,0.7200,-0.0011,-0.0000,0.1152,1.1252,-1.4878,0.0001,0.0000
1789939845.175,0,move,0.0139,-0.5400,0.7200,0.0006,0.0007,0.1170,1.0712,-1.4153,-0.0001,-0.0001
