t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789947053.212,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0007,1.4821,-1.9712,0.0025,0.0018
1789947053.447,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0004,1.4825,-1.9715,0.0023,0.0019
1789947053.578,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0004,1.4826,-1.9719,0.0024,0.0019
1789947053.720,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,1.4825,-1.9720,0.0024,0.0018
1789947053.831,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0004,1.4825,-1.9719,0.0023,0.0019
1789947053.931,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0004,1.4823,-1.9720,0.0022,0.0020
1789947054.050,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,1.4825,-1.9720,0.0022,0.0019
1789947054.153,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,1.4825,-1.9719,0.0023,0.0020
1789947054.267,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,1.4825,-1.9721,0.0024,0.0019
1789947054.367,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0006,1.4825,-1.9720,0.0026,0.0018
1789947054.471,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0006,1.4826,-1.9720,0.0026,0.0018
1789947054.586,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,1.4829,-1.9721,0.0026,0.0017
1789947054.706,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0007,1.4831,-1.9722,0.0024,0.0020
1789947054.812,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0009,1.4831,-1.9723,0.0024,0.0019
1789947054.926,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4833,-1.9724,0.0027,0.0020
1789947055.047,0,move,0.3137,-0.5400,0.7200,-0.0213,-0.0149,-0.0008,1.4833,-1.9724,0.0027,0.0019
1789947055.169,0,move,0.2637,-0.5400,0.7200,-0.0072,-0.0040,0.0117,1.4711,-1.9556,0.0009,0.0005
1789947055.286,0,move,0.1466,-0.5400,0.7200,-0.0020,-0.0004,0.0409,1.4296,-1.8992,0.0003,0.0001
1789947055.387,0,move,0.1025,-0.5400,0.7200,-0.0019,0.0004,0.0520,1.3929,-1.8516,0.0002,-0.0000
1789947055.487,0,move,0.0662,-0.5400,0.7200,-0.0002,-0.0008,0.0610,1.3391,-1.7793,0.0000,0.0001
1789947055.592,0,move,0.0414,-0.5400,0.7200,0.0003,0.0004,0.0673,1.2867,-1.7070,-0.0000,-0.0001
1789947055.706,0,move,0.0264,-0.5400,0.7200,-0.0005,-0.0011,0.0710,1.2328,-1.6350,0.0001,0.0001
1789947055.826,0,move,0.0150,-0.5400,0.7200,-0.0009,0.0002,0.0739,1.1680,-1.5458,0.0001,-0.0000
1789947055.945,0,move,0.0076,-0.5400,0.7200,-0.0003,0.0002,0.0757,1.0935,-1.4439,0.0000,-0.0000
1789947056.047,0,move,0.0053,-0.5400,0.6926,-0.0003,0.0002,0.0763,1.0506,-1.3879,0.0000,-0.0000
1789947056.167,0,move,0.0026,-0.5400,0.5486,-0.0011,0.0005,0.0770,0.9741,-1.2967,0.0001,-0.0001
