t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789942458.557,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,1.4835,-1.9722,0.0002,0.0004
1789942458.677,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4835,-1.9721,0.0001,0.0005
1789942458.778,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,1.4834,-1.9722,0.0001,0.0005
1789942458.897,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4833,-1.9722,-0.0002,0.0005
1789942459.028,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,1.4834,-1.9722,-0.0002,0.0005
1789942459.138,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,1.4836,-1.9722,-0.0001,0.0005
1789942459.257,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,1.4836,-1.9721,-0.0001,0.0004
1789942459.359,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,1.4837,-1.9721,-0.0001,0.0003
1789942459.476,0,move,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,1.4836,-1.9721,0.0000,0.0002
1789942459.581,0,move,0.4125,-0.5400,0.7200,-0.0000,-0.0008,0.0040,1.4800,-1.9673,0.0000,0.0001
1789942459.699,0,move,0.3696,-0.5400,0.7200,-0.0007,0.0008,0.0268,1.4562,-1.9356,0.0001,-0.0001
1789942459.816,0,move,0.2271,-0.5400,0.7200,0.0004,-0.0001,0.0630,1.4106,-1.8740,-0.0000,0.0000
1789942459.916,0,move,0.1462,-0.5400,0.7200,-0.0007,0.0001,0.0832,1.3571,-1.8053,0.0001,-0.0000
1789942460.036,0,move,0.0885,-0.5400,0.7200,-0.0014,0.0009,0.0976,1.2914,-1.7193,0.0002,-0.0001
1789942460.137,0,move,0.0574,-0.5400,0.7200,-0.0002,0.0000,0.1054,1.2379,-1.6464,0.0000,-0.0000
1789942460.257,0,move,0.0338,-0.5400,0.7200,-0.0003,-0.0000,0.1113,1.1725,-1.5582,0.0000,0.0000
1789942460.379,0,move,0.0196,-0.5400,0.6243,-0.0001,-0.0005,0.1149,1.1085,-1.4729,0.0000,0.0001
1789942460.504,0,move,0.0117,-0.5400,0.5038,-0.0008,0.0001,0.1168,1.0436,-1.4036,0.0001,-0.0000
1789942460.618,0,move,0.0070,-0.5400,0.3029,-0.0007,-0.0004,0.1180,0.9791,-1.3498,0.0001,0.0001
1789942460.736,0,move,0.0044,-0.5400,0.1769,-0.0003,0.0003,0.1187,0.9142,-1.3183,0.0000,-0.0000
1789942460.837,0,move,0.0029,-0.5400,0.1138,-0.0001,0.0001,0.1190,0.8608,-1.3025,0.0000,-0.0000
1789942460.962,0,move,0.0015,-0.5109,0.0687,-0.0000,0.0004,0.1194,0.7972,-1.2913,0.0000,-0.0001
1789942461.076,0,move,0.0012,-0.4196,0.0404,-0.0009,0.0003,0.1195,0.7394,-1.2842,0.0001,-0.0000
1789942461.176,0,move,0.0009,-0.3250,0.0260,-0.0009,-0.0009,0.1195,0.7008,-1.2806,0.0001,0.0001
1789942461.277,0,move,0.0004,-0.2080,0.0170,0.0003,-0.0006,0.1197,0.6716,-1.2784,-0.0000,0.0001
1789942461.377,0,move,-0.0001,-0.1355,0.0106,-0.0003,-0.0000,0.1198,0.6535,-1.2767,0.0000,0.0000
1789942461.497,0,move,0.0003,-0.0824,0.0062,-0.0004,-0.0009,0.1197,0.6402,-1.2756,0.0001,0.0001
1789942461.616,0,move,0.0003,-0.0481,0.0038,-0.0005,0.0002,0.1197,0.6316,-1.2750,0.0001,-0.0000
1789942461.737,0,move,0.0002,-0.0286,0.0024,0.0000,-0.0009,0.1197,0.6267,-1.2747,-0.0000,0.0001
1789942461.856,0,move,0.0007,-0.0172,0.0015,-0.0004,-0.0011,0.1196,0.6239,-1.2745,0.0001,0.0001
1789942461.957,0,move,0.0007,-0.0111,0.0012,0.0001,-0.0002,0.1196,0.6224,-1.2744,-0.0000,0.0000
1789942462.076,0,move,0.0003,-0.0066,0.0010,-0.0003,0.0004,0.1197,0.6213,-1.2743,0.0000,-0.0001
