t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1790023501.205,0,wait_data,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4829,-1.9726,-0.0000,0.0003
1790023501.311,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,1.4829,-1.9724,-0.0003,0.0002
1790023501.413,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,1.4830,-1.9724,-0.0003,0.0003
1790023501.536,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4830,-1.9724,-0.0002,0.0002
1790023501.661,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4831,-1.9723,-0.0002,0.0004
1790023501.776,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,1.4832,-1.9724,-0.0002,0.0003
1790023501.878,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4833,-1.9725,-0.0002,0.0003
1790023501.981,0,move,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.4835,-1.9724,-0.0001,0.0002
1790023502.092,0,move,0.1159,-0.5400,0.7200,-0.0001,-0.0010,0.0063,1.4776,-1.9643,0.0000,0.0001
1790023502.193,0,move,0.0744,-0.5400,0.7200,-0.0001,-0.0000,0.0166,1.4567,-1.9363,0.0000,0.0000
1790023502.311,0,move,0.0446,-0.5400,0.7200,-0.0011,-0.0008,0.0241,1.4111,-1.8754,0.0001,0.0001
1790023502.431,0,move,0.0270,-0.5400,0.7200,0.0004,-0.0002,0.0285,1.3471,-1.7922,-0.0000,0.0000
1790023502.531,0,move,0.0175,-0.5400,0.7200,0.0002,-0.0011,0.0308,1.2940,-1.7194,-0.0000,0.0001
1790023502.651,0,move,0.0116,-0.5400,0.7200,0.0008,-0.0006,0.0323,1.2384,-1.6461,-0.0001,0.0001
1790023502.771,0,move,0.0059,-0.5400,0.7200,0.0010,-0.0004,0.0337,1.1621,-1.5462,-0.0001,0.0000
1790023502.891,0,move,0.0036,-0.5400,0.7200,0.0002,-0.0002,0.0343,1.0995,-1.4598,-0.0000,0.0000
1790023502.991,0,move,0.0024,-0.5400,0.7200,-0.0000,0.0010,0.0346,1.0543,-1.4004,0.0000,-0.0001
1790023503.114,0,move,0.0012,-0.5400,0.6000,-0.0005,0.0010,0.0349,0.9887,-1.3181,0.0001,-0.0001
1790023503.231,0,move,0.0009,-0.5400,0.4275,0.0000,0.0005,0.0350,0.9158,-1.2413,-0.0000,-0.0001
1790023503.332,0,move,0.0009,-0.5400,0.2762,-0.0003,0.0006,0.0350,0.8610,-1.2035,0.0000,-0.0001
1790023503.453,0,move,0.0005,-0.5400,0.1774,-0.0005,0.0011,0.0351,0.8058,-1.1788,0.0001,-0.0001
1790023503.572,0,move,0.0001,-0.5271,0.0946,0.0004,-0.0000,0.0352,0.7301,-1.1581,-0.0000,0.0000
1790023503.692,0,move,0.0002,-0.4336,0.0564,-0.0007,0.0004,0.0352,0.6690,-1.1486,0.0001,-0.0001
1790023503.813,0,move,0.0002,-0.3139,0.0331,-0.0005,0.0001,0.0352,0.6195,-1.1427,0.0001,-0.0000
1790023503.915,0,move,-0.0001,-0.2180,0.0230,-0.0003,0.0003,0.0352,0.5955,-1.1402,0.0000,-0.0000
1790023504.031,0,move,-0.0003,-0.1200,0.0119,-0.0007,-0.0008,0.0353,0.5711,-1.1374,0.0001,0.0001
1790023504.151,0,move,-0.0002,-0.0721,0.0068,-0.0008,-0.0004,0.0353,0.5591,-1.1362,0.0001,0.0000
1790023504.255,0,move,-0.0004,-0.0510,0.0046,-0.0006,0.0000,0.0353,0.5538,-1.1356,0.0001,-0.0000
1790023504.371,0,move,-0.0003,-0.0281,0.0026,0.0004,-0.0003,0.0353,0.5481,-1.1351,-0.0001,0.0000
1790023504.471,0,move,0.0001,-0.0188,0.0014,0.0002,0.0007,0.0352,0.5457,-1.1348,-0.0000,-0.0001
1790023504.572,0,move,0.0000,-0.0124,0.0006,-0.0003,0.0004,0.0352,0.5442,-1.1346,0.0000,-0.0001
1790023504.691,0,move,-0.0002,-0.0075,0.0003,-0.0001,0.0005,0.0353,0.5429,-1.1345,0.0000,-0.0001
1790023504.791,0,move,0.0002,-0.0052,-0.0004,-0.0009,0.0003,0.0352,0.5424,-1.1344,0.0001,-0.0000
1790023504.892,0,move,0.0002,-0.0033,-0.0006,-0.0009,-0.0008,0.0352,0.5419,-1.1343,0.0001,0.0001
1790023505.011,0,verify,0.0000,0.0000,0.0000,0.0000,0.0000,0.0352,0.5417,-1.1343,-0.0000,0.0000
1790023505.115,0,aim,0.0000,0.0000,0.0000,0.9000,0.8561,0.0353,0.5418,-1.1342,0.0000,0.0000
1790023505.232,0,aim,0.0000,0.0000,0.0000,0.9000,0.8119,0.0351,0.5417,-1.1342,0.0253,0.0253
1790023505.351,0,aim,0.0000,0.0000,0.0000,0.9000,0.6760,0.0351,0.5416,-1.1341,0.0944,0.0942
1790023505.452,0,aim,0.0000,0.0000,0.0000,0.9000,0.5584,0.0351,0.5416,-1.1342,0.1634,0.1438
1790023505.573,0,aim,0.0000,0.0000,0.0000,0.9000,0.3039,0.0350,0.5417,-1.1342,0.2883,0.2115
1790023505.691,0,aim,0.0000,0.0000,0.0000,0.9000,0.0850,0.0349,0.5416,-1.1342,0.3953,0.2391
1790023505.814,0,aim,0.0000,0.0000,0.0000,0.7747,0.0303,0.0350,0.5416,-1.1343,0.5008,0.2462
1790023505.920,0,aim,0.0000,0.0000,0.0000,0.6269,0.0104,0.0351,0.5418,-1.1343,0.5706,0.2482
1790023506.031,0,aim,0.0000,0.0000,0.0000,0.4419,0.0053,0.0352,0.5418,-1.1344,0.6374,0.2490
1790023506.153,0,aim,0.0000,0.0000,0.0000,0.1777,0.0021,0.0352,0.5418,-1.1345,0.6814,0.2496
1790023506.276,0,aim,0.0000,0.0000,0.0000,0.0524,-0.0050,0.0352,0.5420,-1.1344,0.6970,0.2496
1790023506.393,0,aim,0.0000,0.0000,0.0000,0.0177,-0.0044,0.0351,0.5421,-1.1344,0.7016,0.2490
1790023506.511,0,aim,0.0000,0.0000,0.0000,0.0069,-0.0030,0.0351,0.5420,-1.1343,0.7029,0.2489
1790023506.611,0,aim,0.0000,0.0000,0.0000,0.0054,-0.0006,0.0350,0.5419,-1.1342,0.7036,0.2486
1790023506.712,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.0349,0.5420,-1.1341,0.7038,0.2483
1790023506.814,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.0352,0.5421,-1.1340,0.7037,0.2484
1790023506.932,0,aim,0.0000,0.0000,0.0000,-0.9000,0.4118,0.0353,0.5421,-1.1340,0.7002,0.2521
1790023507.055,0,aim,0.0000,0.0000,0.0000,-0.9000,0.2525,0.0352,0.5419,-1.1339,0.6703,0.2787
1790023507.171,0,aim,0.0000,0.0000,0.0000,-0.9000,0.0594,0.0352,0.5420,-1.1338,0.5773,0.3020
1790023507.291,0,aim,0.0000,0.0000,0.0000,-0.8118,0.0200,0.0352,0.5419,-1.1335,0.4695,0.3070
1790023507.391,0,aim,0.0000,0.0000,0.0000,-0.6873,0.0110,0.0352,0.5419,-1.1336,0.4062,0.3085
1790023507.511,0,aim,0.0000,0.0000,0.0000,-0.5014,0.0005,0.0353,0.5419,-1.1336,0.3305,0.3096
1790023507.631,0,aim,0.0000,0.0000,0.0000,-0.2614,-0.0031,0.0351,0.5419,-1.1335,0.2790,0.3096
1790023507.732,0,aim,0.0000,0.0000,0.0000,-0.0896,-0.0028,0.0348,0.5419,-1.1334,0.2589,0.3093
1790023507.854,0,aim,0.0000,0.0000,0.0000,-0.0390,0.0020,0.0349,0.5418,-1.1336,0.2523,0.3095
1790023507.980,0,aim,0.0000,0.0000,0.0000,-0.0159,-0.0001,0.0350,0.5420,-1.1337,0.2487,0.3096
1790023508.091,0,aim,0.0000,0.0000,0.0000,-0.0088,-0.0016,0.0351,0.5420,-1.1337,0.2469,0.3095
1790023508.193,0,aim,0.0000,0.0000,0.0000,-0.0014,0.0027,0.0351,0.5419,-1.1337,0.2464,0.3094
1790023508.311,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.0351,0.5420,-1.1338,0.2461,0.3098
1790023508.413,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.0351,0.5421,-1.1338,0.2461,0.3099
1790023508.531,0,aim,0.0000,0.0000,0.0000,0.9000,-0.7530,0.0352,0.5422,-1.1338,0.2461,0.3097
1790023508.633,0,aim,0.0000,0.0000,0.0000,0.9000,-0.7173,0.0353,0.5423,-1.1338,0.2642,0.2918
1790023508.752,0,aim,0.0000,0.0000,0.0000,0.8823,-0.5821,0.0352,0.5421,-1.1336,0.3239,0.2322
1790023508.854,0,aim,0.0000,0.0000,0.0000,0.7731,-0.4616,0.0352,0.5420,-1.1335,0.3854,0.1895
1790023508.980,0,aim,0.0000,0.0000,0.0000,0.5608,-0.1624,0.0352,0.5420,-1.1333,0.4821,0.1370
1790023509.091,0,aim,0.0000,0.0000,0.0000,0.3757,-0.0553,0.0351,0.5420,-1.1334,0.5412,0.1237
1790023509.211,0,aim,0.0000,0.0000,0.0000,0.1079,-0.0167,0.0352,0.5421,-1.1335,0.5753,0.1189
