t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789944359.615,0,wait_data,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,1.4838,-1.9719,0.0004,0.0005
1789944359.720,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,1.4836,-1.9718,0.0001,0.0004
1789944359.822,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,1.4835,-1.9717,-0.0001,0.0005
1789944359.940,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,1.4834,-1.9716,-0.0002,0.0005
1789944360.046,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,1.4833,-1.9715,-0.0002,0.0004
1789944360.154,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,1.4832,-1.9715,-0.0001,0.0005
1789944360.259,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,1.4832,-1.9715,-0.0000,0.0004
1789944360.362,0,move,-0.3654,-0.5400,0.7200,-0.0003,-0.0025,0.0010,1.4832,-1.9716,0.0000,0.0003
1789944360.483,0,move,-0.3140,-0.5400,0.7200,-0.0002,-0.0019,-0.0119,1.4706,-1.9553,0.0000,0.0002
1789944360.600,0,move,-0.1932,-0.5400,0.7200,-0.0005,-0.0013,-0.0421,1.4372,-1.9107,0.0001,0.0002
1789944360.702,0,move,-0.1266,-0.5400,0.7200,-0.0009,-0.0007,-0.0587,1.3915,-1.8498,0.0001,0.0001
1789944360.821,0,move,-0.0739,-0.5400,0.7200,-0.0002,0.0004,-0.0719,1.3239,-1.7623,0.0000,-0.0000
1789944360.940,0,move,-0.0446,-0.5400,0.7200,0.0003,-0.0013,-0.0792,1.2578,-1.6742,-0.0000,0.0002
1789944361.060,0,move,-0.0267,-0.5400,0.7200,0.0004,-0.0003,-0.0837,1.1923,-1.5887,-0.0000,0.0000
1789944361.160,0,move,-0.0168,-0.5400,0.7200,0.0001,0.0002,-0.0862,1.1383,-1.5162,-0.0000,-0.0000
1789944361.260,0,move,-0.0108,-0.5400,0.7200,0.0006,0.0000,-0.0877,1.0836,-1.4443,-0.0001,-0.0000
1789944361.360,0,move,-0.0077,-0.5400,0.7200,-0.0005,-0.0011,-0.0884,1.0390,-1.3871,0.0001,0.0001
1789944361.461,0,move,-0.0045,-0.5400,0.6063,0.0001,-0.0002,-0.0893,0.9748,-1.3046,-0.0000,0.0000
1789944361.580,0,move,-0.0028,-0.5400,0.4870,-0.0006,-0.0003,-0.0897,0.9094,-1.2388,0.0001,0.0000
1789944361.684,0,move,-0.0022,-0.5400,0.3116,-0.0009,-0.0002,-0.0898,0.8539,-1.1949,0.0001,0.0000
1789944361.800,0,move,-0.0014,-0.5400,0.1870,-0.0005,-0.0009,-0.0900,0.7900,-1.1638,0.0001,0.0001
1789944361.900,0,move,-0.0007,-0.5133,0.1236,-0.0004,0.0003,-0.0902,0.7377,-1.1479,0.0001,-0.0000
1789944362.001,0,move,-0.0001,-0.4386,0.0794,-0.0001,0.0012,-0.0904,0.6893,-1.1369,0.0000,-0.0001
1789944362.120,0,move,0.0007,-0.3266,0.0478,-0.0001,0.0000,-0.0906,0.6402,-1.1290,0.0000,-0.0000
1789944362.240,0,move,0.0005,-0.1876,0.0286,0.0015,0.0002,-0.0905,0.6054,-1.1242,-0.0002,-0.0000
1789944362.340,0,move,0.0004,-0.1229,0.0185,0.0014,-0.0003,-0.0905,0.5892,-1.1216,-0.0002,0.0000
1789944362.460,0,move,0.0000,-0.0747,0.0110,0.0010,-0.0002,-0.0904,0.5772,-1.1198,-0.0001,0.0000
1789944362.560,0,move,0.0000,-0.0485,0.0067,0.0007,0.0003,-0.0904,0.5706,-1.1187,-0.0001,-0.0000
1789944362.681,0,move,0.0004,-0.0290,0.0044,-0.0004,-0.0007,-0.0905,0.5658,-1.1181,0.0001,0.0001
1789944362.783,0,move,0.0009,-0.0181,0.0032,-0.0001,0.0001,-0.0906,0.5630,-1.1178,0.0000,-0.0000
1789944362.901,0,move,0.0005,-0.0103,0.0020,0.0002,0.0005,-0.0905,0.5611,-1.1175,-0.0000,-0.0001
1789944363.020,0,move,0.0004,-0.0061,0.0011,-0.0008,0.0005,-0.0905,0.5600,-1.1173,0.0001,-0.0001
1789944363.120,0,move,0.0000,-0.0037,0.0006,0.0009,0.0004,-0.0904,0.5594,-1.1172,-0.0001,-0.0001
1789944363.240,0,move,0.0002,-0.0023,0.0001,0.0016,-0.0001,-0.0904,0.5591,-1.1170,-0.0002,0.0000
1789944363.360,0,verify,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0905,0.5590,-1.1171,-0.0001,-0.0000
1789944363.460,0,verify,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0907,0.5590,-1.1172,-0.0000,-0.0001
1789944363.581,0,aim,0.0000,0.0000,0.0000,0.9000,0.7187,-0.0906,0.5590,-1.1170,0.0118,0.0118
1789944363.682,0,aim,0.0000,0.0000,0.0000,0.9000,0.6270,-0.0905,0.5590,-1.1170,0.0536,0.0542
1789944363.800,0,aim,0.0000,0.0000,0.0000,0.9000,0.4443,-0.0905,0.5589,-1.1171,0.1437,0.1212
1789944363.920,0,aim,0.0000,0.0000,0.0000,0.7877,0.1753,-0.0905,0.5589,-1.1168,0.2512,0.1658
1789944364.020,0,aim,0.0000,0.0000,0.0000,0.6373,0.0689,-0.0904,0.5589,-1.1169,0.3237,0.1795
1789944364.140,0,aim,0.0000,0.0000,0.0000,0.4466,0.0192,-0.0902,0.5589,-1.1169,0.3929,0.1857
