t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789942390.041,0,wait_data,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0002,1.4836,-1.9713,0.0004,0.0006
1789942390.145,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0002,1.4836,-1.9714,0.0003,0.0005
1789942390.247,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4837,-1.9713,0.0002,0.0004
1789942390.348,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4836,-1.9714,0.0003,0.0006
1789942390.468,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,1.4835,-1.9714,0.0003,0.0007
1789942390.577,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4837,-1.9713,0.0002,0.0007
1789942390.684,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4836,-1.9712,0.0003,0.0007
1789942390.788,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4836,-1.9712,0.0004,0.0006
1789942390.893,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4834,-1.9712,0.0003,0.0007
1789942391.012,0,move,-0.1198,-0.5400,0.7200,-0.0021,-0.0035,-0.0018,1.4817,-1.9686,0.0003,0.0004
1789942391.129,0,move,-0.0792,-0.5400,0.7200,-0.0005,-0.0001,-0.0120,1.4667,-1.9481,0.0001,0.0000
1789942391.248,0,move,-0.0427,-0.5400,0.7200,-0.0001,-0.0002,-0.0211,1.4192,-1.8864,0.0000,0.0000
1789942391.348,0,move,-0.0278,-0.5400,0.7200,-0.0003,-0.0011,-0.0248,1.3689,-1.8185,0.0000,0.0001
1789942391.449,0,move,-0.0200,-0.5400,0.7200,0.0002,0.0002,-0.0268,1.3264,-1.7601,-0.0000,-0.0000
1789942391.568,0,move,-0.0123,-0.5400,0.7200,0.0003,0.0009,-0.0287,1.2618,-1.6727,-0.0000,-0.0001
1789942391.691,0,move,-0.0064,-0.5400,0.7200,0.0007,0.0004,-0.0302,1.1870,-1.5724,-0.0001,-0.0000
1789942391.807,0,move,-0.0037,-0.5400,0.7200,-0.0001,0.0007,-0.0308,1.1216,-1.4847,0.0000,-0.0001
1789942391.908,0,move,-0.0026,-0.5400,0.7200,-0.0000,0.0008,-0.0311,1.0781,-1.4272,0.0000,-0.0001
1789942392.039,0,move,-0.0019,-0.5400,0.7200,0.0001,-0.0007,-0.0313,1.0034,-1.3279,-0.0000,0.0001
1789942392.149,0,move,-0.0004,-0.5400,0.7182,-0.0003,-0.0010,-0.0317,0.9385,-1.2406,0.0000,0.0001
1789942392.268,0,move,-0.0004,-0.5400,0.5993,0.0001,0.0001,-0.0317,0.8749,-1.1607,-0.0000,-0.0000
1789942392.388,0,move,-0.0004,-0.5400,0.4702,0.0005,0.0002,-0.0317,0.8110,-1.0949,-0.0001,-0.0000
1789942392.488,0,move,-0.0000,-0.5400,0.3020,0.0001,-0.0001,-0.0318,0.7573,-1.0529,-0.0000,0.0000
1789942392.589,0,move,-0.0002,-0.5400,0.2111,0.0001,-0.0004,-0.0317,0.7136,-1.0302,-0.0000,0.0000
1789942392.691,0,move,-0.0005,-0.5000,0.1219,0.0000,-0.0005,-0.0316,0.6501,-1.0079,-0.0000,0.0001
1789942392.808,0,move,-0.0006,-0.4094,0.0725,-0.0003,-0.0000,-0.0316,0.5940,-0.9955,0.0000,0.0000
1789942392.928,0,move,-0.0006,-0.2755,0.0429,0.0004,0.0004,-0.0316,0.5488,-0.9881,-0.0001,-0.0001
1789942393.037,0,move,-0.0005,-0.1764,0.0277,0.0006,0.0008,-0.0317,0.5241,-0.9843,-0.0001,-0.0001
1789942393.150,0,move,0.0000,-0.1063,0.0166,0.0008,0.0002,-0.0318,0.5066,-0.9815,-0.0001,-0.0000
1789942393.268,0,move,-0.0007,-0.0623,0.0097,-0.0000,0.0002,-0.0316,0.4955,-0.9798,0.0000,-0.0000
1789942393.373,0,move,-0.0001,-0.0442,0.0066,0.0003,-0.0004,-0.0318,0.4910,-0.9790,-0.0000,0.0000
1789942393.488,0,move,0.0002,-0.0238,0.0038,0.0003,-0.0006,-0.0318,0.4859,-0.9783,-0.0000,0.0001
1789942393.588,0,move,-0.0001,-0.0157,0.0019,-0.0000,-0.0001,-0.0318,0.4839,-0.9779,0.0000,0.0000
1789942393.708,0,move,-0.0009,-0.0104,0.0010,0.0005,-0.0006,-0.0316,0.4826,-0.9776,-0.0001,0.0001
1789942393.808,0,move,-0.0005,-0.0067,0.0006,0.0008,-0.0006,-0.0316,0.4816,-0.9775,-0.0001,0.0001
