t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789944340.772,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4835,-1.9715,0.0005,0.0004
1789944340.880,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4836,-1.9714,0.0005,0.0005
1789944340.993,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0002,1.4836,-1.9713,0.0004,0.0006
1789944341.100,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4836,-1.9714,0.0002,0.0005
1789944341.220,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4836,-1.9714,0.0002,0.0006
1789944341.333,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4835,-1.9714,0.0003,0.0007
1789944341.433,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.4837,-1.9713,0.0003,0.0007
1789944341.554,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0001,1.4836,-1.9712,0.0003,0.0007
1789944341.679,0,move,-0.3871,-0.5400,0.7200,-0.0024,-0.0031,-0.0018,1.4816,-1.9689,0.0003,0.0004
1789944341.793,0,move,-0.3301,-0.5400,0.7200,-0.0001,-0.0011,-0.0212,1.4616,-1.9426,0.0000,0.0001
1789944341.893,0,move,-0.2369,-0.5400,0.7200,-0.0006,0.0009,-0.0445,1.4364,-1.9082,0.0001,-0.0001
1789944341.993,0,move,-0.1399,-0.5400,0.7200,-0.0006,0.0004,-0.0688,1.3789,-1.8331,0.0001,-0.0001
1789944342.113,0,move,-0.0833,-0.5400,0.7200,0.0001,-0.0012,-0.0829,1.3142,-1.7464,-0.0000,0.0001
1789944342.233,0,move,-0.0506,-0.5400,0.7200,0.0001,0.0003,-0.0911,1.2497,-1.6588,-0.0000,-0.0000
1789944342.333,0,move,-0.0335,-0.5400,0.7200,0.0007,0.0005,-0.0954,1.1951,-1.5855,-0.0001,-0.0001
1789944342.433,0,move,-0.0213,-0.5400,0.7200,0.0010,0.0001,-0.0984,1.1428,-1.5153,-0.0001,-0.0000
1789944342.533,0,move,-0.0141,-0.5400,0.7200,0.0003,0.0006,-0.1002,1.0891,-1.4421,-0.0000,-0.0001
1789944342.653,0,move,-0.0082,-0.5400,0.7200,0.0003,0.0001,-0.1017,1.0236,-1.3549,-0.0000,-0.0000
1789944342.774,0,move,-0.0053,-0.5400,0.7200,0.0001,-0.0001,-0.1024,0.9579,-1.2697,-0.0000,0.0000
1789944342.894,0,move,-0.0030,-0.5400,0.6388,0.0002,-0.0004,-0.1030,0.8949,-1.1856,-0.0000,0.0001
1789944343.013,0,move,-0.0014,-0.5400,0.5174,-0.0002,-0.0004,-0.1034,0.8299,-1.1140,0.0000,0.0001
1789944343.114,0,move,-0.0011,-0.5400,0.3612,0.0003,0.0001,-0.1035,0.7769,-1.0677,-0.0000,-0.0000
1789944343.232,0,move,-0.0007,-0.5400,0.2142,0.0003,0.0003,-0.1036,0.7130,-1.0309,-0.0000,-0.0000
1789944343.333,0,move,-0.0001,-0.5017,0.1386,0.0006,-0.0005,-0.1037,0.6599,-1.0120,-0.0001,0.0001
1789944343.433,0,move,-0.0003,-0.4402,0.0978,0.0001,0.0002,-0.1037,0.6205,-1.0018,-0.0000,-0.0000
1789944343.554,0,move,-0.0011,-0.3337,0.0568,-0.0002,-0.0006,-0.1035,0.5721,-0.9916,0.0000,0.0001
1789944343.679,0,move,-0.0001,-0.1773,0.0318,0.0004,0.0005,-0.1037,0.5330,-0.9853,-0.0000,-0.0001
1789944343.793,0,move,-0.0006,-0.1059,0.0182,0.0010,0.0002,-0.1036,0.5152,-0.9819,-0.0001,-0.0000
1789944343.915,0,move,-0.0001,-0.0634,0.0108,0.0005,0.0007,-0.1037,0.5045,-0.9801,-0.0001,-0.0001
1789944344.022,0,move,-0.0004,-0.0415,0.0068,0.0005,-0.0002,-0.1037,0.4991,-0.9791,-0.0001,0.0000
1789944344.133,0,move,-0.0003,-0.0243,0.0040,-0.0001,-0.0002,-0.1037,0.4948,-0.9784,0.0000,0.0000
1789944344.257,0,move,0.0001,-0.0145,0.0022,-0.0004,-0.0007,-0.1038,0.4923,-0.9779,0.0001,0.0001
1789944344.373,0,move,-0.0001,-0.0084,0.0011,-0.0004,0.0002,-0.1037,0.4908,-0.9777,0.0001,-0.0000
1789944344.492,0,move,-0.0007,-0.0056,0.0005,0.0002,-0.0009,-0.1036,0.4901,-0.9775,-0.0000,0.0001
1789944344.593,0,move,-0.0009,-0.0040,0.0003,0.0006,-0.0010,-0.1035,0.4897,-0.9775,-0.0001,0.0001
1789944344.693,0,verify,-0.0002,-0.0032,0.0000,0.0002,0.0003,-0.1037,0.4895,-0.9774,-0.0000,-0.0000
1789944344.794,0,verify,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1038,0.4893,-0.9773,-0.0001,-0.0001
1789944344.895,0,aim,0.0000,0.0000,0.0000,0.9000,0.6164,-0.1038,0.4894,-0.9775,0.0037,0.0036
1789944345.014,0,aim,0.0000,0.0000,0.0000,0.9000,0.4757,-0.1040,0.4896,-0.9776,0.0546,0.0551
1789944345.133,0,aim,0.0000,0.0000,0.0000,0.9000,0.2111,-0.1041,0.4895,-0.9775,0.1460,0.1060
1789944345.253,0,aim,0.0000,0.0000,0.0000,0.8287,0.0629,-0.1043,0.4893,-0.9774,0.2531,0.1248
1789944345.353,0,aim,0.0000,0.0000,0.0000,0.7080,0.0270,-0.1045,0.4893,-0.9774,0.3168,0.1292
1789944345.453,0,aim,0.0000,0.0000,0.0000,0.5265,0.0046,-0.1046,0.4895,-0.9774,0.3932,0.1313
1789944345.574,0,aim,0.0000,0.0000,0.0000,0.3110,-0.0012,-0.1047,0.4895,-0.9773,0.4492,0.1314
1789944345.675,0,aim,0.0000,0.0000,0.0000,0.1174,0.0010,-0.1048,0.4895,-0.9772,0.4738,0.1314
1789944345.793,0,aim,0.0000,0.0000,0.0000,0.0404,-0.0021,-0.1049,0.4895,-0.9771,0.4838,0.1313
1789944345.894,0,aim,0.0000,0.0000,0.0000,0.0146,-0.0015,-0.1047,0.4895,-0.9771,0.4863,0.1312
1789944346.013,0,aim,0.0000,0.0000,0.0000,0.0022,-0.0008,-0.1047,0.4896,-0.9772,0.4875,0.1308
1789944346.113,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1047,0.4897,-0.9772,0.4876,0.1308
1789944346.232,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1047,0.4897,-0.9771,0.4875,0.1310
1789944346.334,0,aim,0.0000,0.0000,0.0000,0.6458,-0.3405,-0.1046,0.4897,-0.9772,0.4887,0.1296
1789944346.434,0,aim,0.0000,0.0000,0.0000,0.5875,-0.1764,-0.1047,0.4897,-0.9772,0.5135,0.1089
1789944346.534,0,aim,0.0000,0.0000,0.0000,0.4508,-0.0683,-0.1046,0.4896,-0.9769,0.5618,0.0952
1789944346.637,0,aim,0.0000,0.0000,0.0000,0.2298,-0.0314,-0.1048,0.4898,-0.9770,0.6024,0.0901
1789944346.753,0,aim,0.0000,0.0000,0.0000,0.0830,-0.0098,-0.1048,0.4897,-0.9771,0.6209,0.0879
1789944346.873,0,aim,0.0000,0.0000,0.0000,0.0219,-0.0013,-0.1048,0.4897,-0.9772,0.6287,0.0870
1789944346.973,0,aim,0.0000,0.0000,0.0000,0.0098,-0.0042,-0.1049,0.4897,-0.9771,0.6304,0.0870
1789944347.074,0,aim,0.0000,0.0000,0.0000,0.0045,0.0016,-0.1048,0.4896,-0.9771,0.6311,0.0868
1789944347.179,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1047,0.4895,-0.9771,0.6313,0.0869
1789944347.299,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1048,0.4895,-0.9769,0.6314,0.0870
1789944347.419,0,aim,0.0000,0.0000,0.0000,0.0996,-0.4666,-0.1048,0.4894,-0.9768,0.6373,0.0800
1789944347.533,0,aim,0.0000,0.0000,0.0000,0.0340,-0.2649,-0.1050,0.4894,-0.9768,0.6462,0.0393
1789944347.636,0,aim,0.0000,0.0000,0.0000,0.0171,-0.1070,-0.1053,0.4895,-0.9768,0.6491,0.0191
1789944347.755,0,aim,0.0000,0.0000,0.0000,0.0070,-0.0390,-0.1054,0.4896,-0.9769,0.6506,0.0102
1789944347.873,0,aim,0.0000,0.0000,0.0000,0.0057,-0.0121,-0.1055,0.4897,-0.9769,0.6511,0.0066
1789944347.973,0,aim,0.0000,0.0000,0.0000,0.0016,-0.0068,-0.1055,0.4898,-0.9770,0.6516,0.0055
1789944348.078,0,aim,0.0000,0.0000,0.0000,-0.0007,-0.0027,-0.1055,0.4899,-0.9770,0.6516,0.0049
1789944348.194,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1056,0.4899,-0.9770,0.6518,0.0048
1789944348.295,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1057,0.4898,-0.9771,0.6518,0.0049
1789944348.413,0,aim,0.0000,0.0000,0.0000,-0.6692,0.5888,-0.1056,0.4897,-0.9771,0.6443,0.0121
1789944348.513,0,aim,0.0000,0.0000,0.0000,-0.5865,0.4895,-0.1057,0.4897,-0.9771,0.6090,0.0481
1789944348.635,0,aim,0.0000,0.0000,0.0000,-0.4362,0.3001,-0.1057,0.4898,-0.9771,0.5568,0.0920
1789944348.753,0,aim,0.0000,0.0000,0.0000,-0.1654,0.0867,-0.1058,0.4897,-0.9773,0.5135,0.1191
1789944348.877,0,aim,0.0000,0.0000,0.0000,-0.0461,0.0235,-0.1056,0.4896,-0.9772,0.4978,0.1275
1789944348.993,0,aim,0.0000,0.0000,0.0000,-0.0151,0.0075,-0.1057,0.4896,-0.9772,0.4943,0.1298
1789944349.095,0,aim,0.0000,0.0000,0.0000,-0.0048,0.0116,-0.1057,0.4894,-0.9775,0.4933,0.1304
1789944349.213,0,aim,0.0000,0.0000,0.0000,-0.0015,0.0037,-0.1057,0.4894,-0.9775,0.4927,0.1315
1789944349.314,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1057,0.4894,-0.9775,0.4924,0.1318
1789944349.436,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1055,0.4896,-0.9775,0.4925,0.1318
1789944349.553,0,aim,0.0000,0.0000,0.0000,-0.7428,-0.5658,-0.1054,0.4895,-0.9776,0.4913,0.1305
1789944349.658,0,aim,0.0000,0.0000,0.0000,-0.6766,-0.4737,-0.1055,0.4895,-0.9776,0.4597,0.0981
1789944349.774,0,aim,0.0000,0.0000,0.0000,-0.5144,-0.2242,-0.1054,0.4896,-0.9775,0.3935,0.0494
1789944349.894,0,aim,0.0000,0.0000,0.0000,-0.3463,-0.0768,-0.1053,0.4894,-0.9775,0.3465,0.0313
1789944350.020,0,aim,0.0000,0.0000,0.0000,-0.0867,-0.0188,-0.1053,0.4894,-0.9773,0.3140,0.0240
1789944350.133,0,aim,0.0000,0.0000,0.0000,-0.0288,-0.0068,-0.1052,0.4894,-0.9772,0.3063,0.0222
1789944350.253,0,aim,0.0000,0.0000,0.0000,-0.0084,-0.0037,-0.1052,0.4895,-0.9772,0.3038,0.0213
1789944350.355,0,aim,0.0000,0.0000,0.0000,-0.0030,-0.0023,-0.1053,0.4896,-0.9772,0.3032,0.0209
1789944350.475,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1053,0.4896,-0.9772,0.3028,0.0207
1789944350.576,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1053,0.4896,-0.9771,0.3028,0.0208
1789944350.677,0,aim,0.0000,0.0000,0.0000,0.6416,0.3312,-0.1052,0.4896,-0.9771,0.3028,0.0208
1789944350.793,0,aim,0.0000,0.0000,0.0000,0.5978,0.1927,-0.1051,0.4896,-0.9771,0.3209,0.0381
1789944350.895,0,aim,0.0000,0.0000,0.0000,0.4995,0.0869,-0.1050,0.4897,-0.9770,0.3572,0.0509
1789944351.015,0,aim,0.0000,0.0000,0.0000,0.2733,0.0234,-0.1052,0.4899,-0.9770,0.4086,0.0579
1789944351.135,0,aim,0.0000,0.0000,0.0000,0.0759,0.0067,-0.1051,0.4900,-0.9771,0.4326,0.0598
1789944351.253,0,aim,0.0000,0.0000,0.0000,0.0253,0.0041,-0.1052,0.4899,-0.9772,0.4393,0.0607
1789944351.353,0,aim,0.0000,0.0000,0.0000,0.0151,0.0039,-0.1053,0.4898,-0.9772,0.4410,0.0611
