t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789942263.402,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0024,1.4831,-1.9758,-0.0052,-0.0007
1789942263.520,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0025,1.4830,-1.9758,-0.0052,-0.0008
1789942263.648,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0025,1.4827,-1.9758,-0.0053,-0.0008
1789942263.759,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0023,1.4828,-1.9756,-0.0052,-0.0008
1789942263.862,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0024,1.4828,-1.9756,-0.0053,-0.0008
1789942263.980,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0024,1.4828,-1.9756,-0.0053,-0.0006
1789942264.081,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0023,1.4828,-1.9757,-0.0052,-0.0008
1789942264.185,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0024,1.4829,-1.9758,-0.0053,-0.0008
1789942264.303,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0023,1.4831,-1.9759,-0.0054,-0.0006
1789942264.408,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0024,1.4831,-1.9758,-0.0054,-0.0007
1789942264.520,0,move,0.4241,-0.5400,0.7200,0.0342,0.0047,-0.0018,1.4825,-1.9751,-0.0043,-0.0006
1789942264.639,0,move,0.3941,-0.5400,0.7200,0.0108,0.0026,0.0148,1.4667,-1.9532,-0.0013,-0.0003
1789942264.760,0,move,0.2772,-0.5400,0.7200,0.0028,0.0011,0.0512,1.4290,-1.9029,-0.0003,-0.0001
1789942264.879,0,move,0.1603,-0.5400,0.7200,0.0013,0.0006,0.0804,1.3707,-1.8237,-0.0002,-0.0001
1789942264.980,0,move,0.1021,-0.5400,0.7200,0.0006,0.0011,0.0950,1.3154,-1.7522,-0.0001,-0.0001
1789942265.101,0,move,0.0611,-0.5400,0.7200,0.0003,0.0005,0.1052,1.2503,-1.6652,-0.0000,-0.0001
1789942265.222,0,move,0.0366,-0.5400,0.7200,0.0005,-0.0007,0.1113,1.1863,-1.5778,-0.0001,0.0001
1789942265.339,0,move,0.0214,-0.5400,0.7200,-0.0002,0.0006,0.1151,1.1223,-1.4923,0.0000,-0.0001
1789942265.460,0,move,0.0122,-0.5400,0.7200,0.0009,-0.0001,0.1174,1.0572,-1.4083,-0.0001,0.0000
1789942265.579,0,move,0.0071,-0.5400,0.7200,-0.0006,0.0007,0.1187,0.9918,-1.3196,0.0001,-0.0001
1789942265.699,0,move,0.0045,-0.5400,0.7200,-0.0008,-0.0006,0.1194,0.9277,-1.2341,0.0001,0.0001
1789942265.819,0,move,0.0029,-0.5400,0.7200,-0.0007,0.0000,0.1198,0.8629,-1.1480,0.0001,-0.0000
1789942265.939,0,move,0.0019,-0.5400,0.7200,-0.0006,0.0014,0.1200,0.8015,-1.0633,0.0001,-0.0002
1789942266.060,0,move,0.0012,-0.5400,0.7200,0.0000,0.0003,0.1202,0.7366,-0.9780,-0.0000,-0.0000
