t,episode,state,cmd_base_yaw,cmd_shoulder_pitch,cmd_elbow_pitch,cmd_head_pan,cmd_head_tilt,q_base_yaw,q_shoulder_pitch,q_elbow_pitch,q_head_pan,q_head_tilt
1789939903.247,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0006,1.4823,-1.9709,-0.0003,-0.0009
1789939903.347,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0006,1.4824,-1.9709,-0.0002,-0.0010
1789939903.447,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0007,1.4823,-1.9708,-0.0002,-0.0011
1789939903.568,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4822,-1.9709,-0.0004,-0.0010
1789939903.672,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4822,-1.9708,-0.0003,-0.0008
1789939903.794,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4822,-1.9707,-0.0004,-0.0009
1789939903.909,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4821,-1.9707,-0.0005,-0.0008
1789939904.019,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0008,1.4820,-1.9706,-0.0005,-0.0009
1789939904.128,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0009,1.4820,-1.9706,-0.0003,-0.0008
1789939904.247,0,look,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0010,1.4821,-1.9705,-0.0002,-0.0008
1789939904.350,0,move,0.4092,-0.5400,0.7200,0.0007,0.0036,0.0025,1.4783,-1.9656,-0.0001,-0.0004
1789939904.451,0,move,0.3752,-0.5400,0.7200,-0.0001,0.0011,0.0206,1.4599,-1.9408,0.0000,-0.0001
1789939904.568,0,move,0.2377,-0.5400,0.7200,-0.0004,0.0003,0.0569,1.4197,-1.8858,0.0001,-0.0000
1789939904.688,0,move,0.1531,-0.5400,0.7200,-0.0013,-0.0001,0.0781,1.3685,-1.8200,0.0002,0.0000
1789939904.788,0,move,0.0888,-0.5400,0.7200,-0.0002,0.0005,0.0941,1.3042,-1.7317,0.0000,-0.0001
1789939904.910,0,move,0.0524,-0.5400,0.7200,-0.0014,-0.0006,0.1032,1.2416,-1.6452,0.0002,0.0001
1789939905.027,0,move,0.0312,-0.5400,0.7200,-0.0009,-0.0002,0.1085,1.1757,-1.5567,0.0001,0.0000
1789939905.129,0,move,0.0222,-0.5400,0.7200,-0.0002,0.0006,0.1108,1.1319,-1.4996,0.0000,-0.0001
1789939905.250,0,move,0.0118,-0.5400,0.7200,-0.0003,0.0004,0.1134,1.0561,-1.3985,0.0000,-0.0000
1789939905.350,0,move,0.0073,-0.5400,0.7200,-0.0006,0.0001,0.1145,1.0030,-1.3249,0.0001,-0.0000
1789939905.468,0,move,0.0050,-0.5400,0.7200,-0.0006,0.0002,0.1151,0.9484,-1.2535,0.0001,-0.0000
1789939905.568,0,move,0.0028,-0.5400,0.7200,-0.0010,-0.0004,0.1157,0.8820,-1.1663,0.0001,0.0000
1789939905.688,0,move,0.0019,-0.5400,0.7200,-0.0016,-0.0002,0.1159,0.8176,-1.0801,0.0002,0.0000
1789939905.808,0,move,0.0013,-0.5400,0.6689,-0.0004,0.0008,0.1160,0.7527,-0.9962,0.0000,-0.0001
1789939905.930,0,move,0.0002,-0.5400,0.5718,-0.0007,0.0004,0.1163,0.6978,-0.9347,0.0001,-0.0000
1789939906.048,0,move,-0.0001,-0.5400,0.4110,0.0004,0.0007,0.1164,0.6343,-0.8707,-0.0001,-0.0001
1789939906.148,0,move,-0.0003,-0.4768,0.2588,-0.0006,-0.0002,0.1164,0.5823,-0.8327,0.0001,0.0000
1789939906.270,0,move,-0.0002,-0.3981,0.1631,0.0002,-0.0002,0.1164,0.5354,-0.8087,-0.0000,0.0000
1789939906.388,0,move,-0.0005,-0.2587,0.0960,-0.0003,0.0001,0.1165,0.4923,-0.7919,0.0000,-0.0000
1789939906.488,0,move,-0.0004,-0.1665,0.0626,-0.0003,0.0008,0.1165,0.4692,-0.7836,0.0000,-0.0001
1789939906.590,0,move,-0.0008,-0.1065,0.0411,-0.0010,0.0011,0.1165,0.4542,-0.7782,0.0001,-0.0001
1789939906.692,0,move,-0.0006,-0.0758,0.0290,-0.0006,0.0007,0.1165,0.4465,-0.7752,0.0001,-0.0001
1789939906.808,0,move,0.0006,-0.0442,0.0164,-0.0010,0.0008,0.1162,0.4387,-0.7720,0.0001,-0.0001
1789939906.934,0,move,0.0001,-0.0262,0.0098,-0.0011,-0.0002,0.1163,0.4342,-0.7704,0.0001,0.0000
1789939907.047,0,move,0.0007,-0.0147,0.0055,-0.0007,-0.0006,0.1162,0.4313,-0.7693,0.0001,0.0001
1789939907.148,0,move,0.0006,-0.0103,0.0039,0.0007,-0.0005,0.1162,0.4302,-0.7689,-0.0001,0.0001
1789939907.270,0,move,0.0003,-0.0060,0.0022,0.0004,-0.0007,0.1163,0.4291,-0.7685,-0.0000,0.0001
1789939907.388,0,move,0.0002,-0.0038,0.0017,0.0015,-0.0017,0.1163,0.4286,-0.7684,-0.0002,0.0002
1789939907.508,0,move,0.0003,-0.0019,0.0013,0.0013,-0.0015,0.1163,0.4281,-0.7683,-0.0002,0.0002
1789939907.627,0,verify,0.0000,0.0000,0.0000,0.0000,0.0000,0.1163,0.4280,-0.7683,-0.0001,0.0001
1789939907.727,0,aim,0.0000,0.0000,0.0000,0.5961,0.7555,0.1163,0.4279,-0.7684,-0.0002,0.0001
1789939907.828,0,aim,0.0000,0.0000,0.0000,0.5689,0.7319,0.1162,0.4280,-0.7685,0.0114,0.0121
1789939907.936,0,aim,0.0000,0.0000,0.0000,0.4507,0.6436,0.1162,0.4279,-0.7686,0.0523,0.0539
1789939908.048,0,aim,0.0000,0.0000,0.0000,0.1873,0.4587,0.1163,0.4278,-0.7686,0.0974,0.1236
1789939908.168,0,aim,0.0000,0.0000,0.0000,0.0418,0.1554,0.1163,0.4278,-0.7684,0.1156,0.1754
1789939908.269,0,aim,0.0000,0.0000,0.0000,0.0217,0.0710,0.1162,0.4278,-0.7684,0.1186,0.1858
1789939908.389,0,aim,0.0000,0.0000,0.0000,0.0033,0.0187,0.1163,0.4279,-0.7683,0.1204,0.1919
1789939908.508,0,aim,0.0000,0.0000,0.0000,0.0001,0.0057,0.1163,0.4279,-0.7684,0.1206,0.1938
1789939908.630,0,aim,0.0000,0.0000,0.0000,0.0006,-0.0035,0.1163,0.4280,-0.7684,0.1207,0.1945
1789939908.748,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1163,0.4278,-0.7683,0.1209,0.1944
1789939908.848,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1164,0.4278,-0.7683,0.1209,0.1944
1789939908.949,0,aim,0.0000,0.0000,0.0000,-0.9000,0.2548,0.1162,0.4278,-0.7682,0.1211,0.1944
1789939909.069,0,aim,0.0000,0.0000,0.0000,-0.9000,0.0810,0.1162,0.4277,-0.7682,0.0876,0.2167
1789939909.169,0,aim,0.0000,0.0000,0.0000,-0.9000,0.0347,0.1162,0.4275,-0.7682,0.0272,0.2231
1789939909.288,0,aim,0.0000,0.0000,0.0000,-0.7566,0.0058,0.1161,0.4276,-0.7684,-0.0932,0.2266
1789939909.407,0,aim,0.0000,0.0000,0.0000,-0.6098,-0.0006,0.1162,0.4276,-0.7683,-0.1617,0.2271
1789939909.528,0,aim,0.0000,0.0000,0.0000,-0.4123,0.0028,0.1162,0.4275,-0.7683,-0.2302,0.2272
1789939909.647,0,aim,0.0000,0.0000,0.0000,-0.1385,-0.0014,0.1160,0.4276,-0.7683,-0.2699,0.2276
1789939909.749,0,aim,0.0000,0.0000,0.0000,-0.0635,0.0030,0.1160,0.4275,-0.7684,-0.2794,0.2276
1789939909.868,0,aim,0.0000,0.0000,0.0000,-0.0203,0.0045,0.1160,0.4274,-0.7686,-0.2851,0.2283
1789939909.988,0,aim,0.0000,0.0000,0.0000,-0.0050,0.0025,0.1160,0.4275,-0.7688,-0.2865,0.2287
1789939910.108,0,aim,0.0000,0.0000,0.0000,-0.0018,0.0002,0.1160,0.4275,-0.7688,-0.2870,0.2291
1789939910.210,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1159,0.4274,-0.7687,-0.2871,0.2292
1789939910.330,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1160,0.4276,-0.7689,-0.2870,0.2292
1789939910.447,0,aim,0.0000,0.0000,0.0000,0.9000,-0.6989,0.1162,0.4275,-0.7689,-0.2752,0.2170
1789939910.547,0,aim,0.0000,0.0000,0.0000,0.8993,-0.6069,0.1163,0.4276,-0.7688,-0.2334,0.1756
1789939910.648,0,aim,0.0000,0.0000,0.0000,0.7727,-0.4525,0.1162,0.4276,-0.7688,-0.1606,0.1198
1789939910.750,0,aim,0.0000,0.0000,0.0000,0.6803,-0.3496,0.1163,0.4276,-0.7689,-0.1154,0.0943
1789939910.850,0,aim,0.0000,0.0000,0.0000,0.4933,-0.1030,0.1162,0.4276,-0.7689,-0.0404,0.0635
1789939910.967,0,aim,0.0000,0.0000,0.0000,0.3136,-0.0427,0.1162,0.4277,-0.7689,0.0029,0.0553
1789939911.069,0,aim,0.0000,0.0000,0.0000,0.1331,-0.0229,0.1163,0.4279,-0.7689,0.0252,0.0522
1789939911.190,0,aim,0.0000,0.0000,0.0000,0.0305,-0.0070,0.1163,0.4279,-0.7689,0.0382,0.0499
1789939911.308,0,aim,0.0000,0.0000,0.0000,0.0071,-0.0011,0.1162,0.4279,-0.7690,0.0414,0.0497
1789939911.410,0,aim,0.0000,0.0000,0.0000,0.0047,0.0035,0.1162,0.4277,-0.7690,0.0418,0.0497
1789939911.528,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1161,0.4276,-0.7691,0.0422,0.0502
1789939911.647,0,post_press,0.0000,0.0000,0.0000,0.0000,0.0000,0.1162,0.4275,-0.7691,0.0422,0.0502
1789939911.769,0,aim,0.0000,0.0000,0.0000,0.6664,0.6345,0.1163,0.4276,-0.7691,0.0435,0.0514
